id,GeneSymbol,gene_source,gene_biotype,Chr,Start,End,Strand
SPAC212.11,tlh1,PomBase,protein_coding,I,1,5662,-
SPAC212.02,,PomBase,protein_coding,I,27353,27763,-
SPAC977.02,,PomBase,protein_coding,I,32034,33012,+
SPAC977.05c,,PomBase,protein_coding,I,35768,36382,-
SPAC977.08,,PomBase,protein_coding,I,44644,45468,+
SPAC977.11,,PomBase,protein_coding,I,55059,56308,+
SPAC977.12,,PomBase,protein_coding,I,56373,57736,+
SPAC977.15,,PomBase,protein_coding,I,62961,63862,+
SPAC977.17,,PomBase,protein_coding,I,66219,69821,+
SPAC1F8.01,ght3,PomBase,protein_coding,I,82746,84786,+
SPAC1F8.02c,shu1,PomBase,protein_coding,I,85566,86324,-
SPAC1F8.08,,PomBase,protein_coding,I,103941,104953,+
SPAC11D3.04c,,PomBase,protein_coding,I,112514,114445,-
SPAC11D3.08c,,PomBase,protein_coding,I,120321,123785,-
SPAC11D3.10,,PomBase,protein_coding,I,124907,129053,+
SPAC11D3.13,hsp3104,PomBase,protein_coding,I,130148,131268,+
SPAC5H10.03,,PomBase,protein_coding,I,149446,152909,+
SPAC5H10.07,,PomBase,protein_coding,I,158777,159472,+
SPAC13G6.13,,PomBase,protein_coding,I,198884,199231,+
SPAC24B11.05,,PomBase,protein_coding,I,204386,206081,+
SPAC24B11.06c,sty1,PomBase,protein_coding,I,206476,208044,-
SPAC24B11.07c,,PomBase,protein_coding,I,208839,211275,-
SPAC24B11.11c,sid2,PomBase,protein_coding,I,221694,223991,-
SPAC24B11.14,,PomBase,protein_coding,I,230545,231136,+
SPAC806.03c,rps2601,PomBase,protein_coding,I,235533,236104,-
SPAC806.11,,PomBase,protein_coding,I,237023,237885,-
SPAC806.05,,PomBase,protein_coding,I,244214,247574,+
SPAC1639.02c,trk2,PomBase,protein_coding,I,255881,259505,-
SPAC1F5.07c,hem14,PomBase,protein_coding,I,276723,278573,+
SPAC1F5.03c,,PomBase,protein_coding,I,289790,291927,+
SPAC18B11.10,tup11,PomBase,protein_coding,I,299278,301837,-
SPAC18B11.03c,,PomBase,protein_coding,I,311920,314040,+
SPAC12G12.15,sif3,PomBase,protein_coding,I,316996,319185,-
SPAC12G12.10,wdr21,PomBase,protein_coding,I,328196,329545,-
SPAC12G12.08,mrpl1602,PomBase,protein_coding,I,333178,334621,-
SPAC630.04c,,PomBase,protein_coding,I,350239,353340,-
SPAC630.03,arp3,PomBase,protein_coding,I,350406,352296,+
SPAC630.05,gyp7,PomBase,protein_coding,I,353783,356580,+
SPAC630.12,,PomBase,protein_coding,I,368040,369950,+
SPAC1751.01c,gti1,PomBase,protein_coding,I,377844,384751,-
SPAC1751.02c,rsm19,PomBase,protein_coding,I,384886,386195,-
SPAC31A2.03,mrp11,PomBase,protein_coding,I,389391,390520,+
SPAC31A2.04c,pre1,PomBase,protein_coding,I,390407,391260,-
SPAC31A2.05c,mis4,PomBase,protein_coding,I,391628,396999,-
SPAC31A2.06,atp25,PomBase,protein_coding,I,397426,402487,+
SPAC31A2.15c,dcc1,PomBase,protein_coding,I,417823,419996,-
SPAC31A2.16,gef2,PomBase,protein_coding,I,419958,423991,+
SPAC13C5.04,,PomBase,protein_coding,I,430056,431032,+
SPAC13C5.06c,mug121,PomBase,protein_coding,I,434102,435179,-
SPAC23E2.02,lsd2,PomBase,protein_coding,I,446491,450726,+
SPAC24H6.07,rps901,PomBase,protein_coding,I,475354,476128,-
SPAC24H6.05,cdc25,PomBase,protein_coding,I,479228,482556,-
SPAC24H6.03,cul3,PomBase,protein_coding,I,485723,488811,-
SPAPB21F2.03,slx9,PomBase,protein_coding,I,498111,499027,+
SPAC227.01c,erd1,PomBase,protein_coding,I,498878,500674,-
SPAC227.19c,,PomBase,protein_coding,I,501117,501485,-
SPAC227.02c,rrp15,PomBase,protein_coding,I,501751,502444,-
SPAC227.04,atg10,PomBase,protein_coding,I,504835,505775,+
SPAC227.11c,yos9,PomBase,protein_coding,I,513967,517252,-
SPAC227.16c,psf3,PomBase,protein_coding,I,527782,528906,-
SPAC2F7.02c,psr1,PomBase,protein_coding,I,531794,533731,-
SPAC2F7.03c,pom1,PomBase,protein_coding,I,534120,537869,-
SPAC2F7.05c,tif5,PomBase,protein_coding,I,539919,541640,-
SPAC2F7.10,akr1,PomBase,protein_coding,I,550630,553595,+
SPAC2F7.15,rsm24,PomBase,protein_coding,I,563698,565073,+
SPAC13A11.03,mcp7,PomBase,protein_coding,I,578392,579948,+
SPAC3H8.04,,PomBase,protein_coding,I,592226,593906,+
SPAC3H8.07c,pac10,PomBase,protein_coding,I,600826,601749,-
SPAC1F3.08c,,PomBase,protein_coding,I,633148,633474,-
SPAC1F3.09,mug161,PomBase,protein_coding,I,633652,636959,+
SPAC1D4.08,pis1,PomBase,protein_coding,I,650465,652224,+
SPAC1D4.09c,rtf2,PomBase,protein_coding,I,652225,653321,-
