id,GeneSymbol,gene_source,gene_biotype,Chr,Start,End,Strand
ENSGALG00000012550,HMOX1,ensembl,protein_coding,1,52103308,52109433,-
ENSGALG00000016736,CYFIP1,ensembl,protein_coding,1,131681532,131744672,+
ENSGALG00000028818,gga-mir-6641,ensembl,miRNA,1,180517114,180517212,+
ENSGALG00000023576,PIM3,ensembl,protein_coding,1,19335370,19339085,-
ENSGALG00000015006,MAB21L3,ensembl,protein_coding,1,81097708,81108336,-
ENSGALG00000017145,MPHOSPH8,ensembl,protein_coding,1,180550812,180568847,-
ENSGALG00000008554,IL17REL,ensembl,protein_coding,1,20198062,20240989,-
ENSGALG00000015016,SLC22A15,ensembl,protein_coding,1,81130221,81161028,-
ENSGALG00000052027,,ensembl,protein_coding,1,131722616,131727023,-
ENSGALG00000012552,TOM1,ensembl,protein_coding,1,52116279,52137392,-
ENSGALG00000016737,NIPA2,ensembl,protein_coding,1,131746791,131757830,-
ENSGALG00000040038,MLC1,ensembl,protein_coding,1,20257352,20275372,-
ENSGALG00000034473,PARP4,ensembl,protein_coding,1,180569335,180612944,-
ENSGALG00000039811,NIPA1,ensembl,protein_coding,1,131761291,131775917,-
ENSGALG00000044768,,ensembl,protein_coding,1,52139053,52143492,-
ENSGALG00000052369,,ensembl,protein_coding,1,52142885,52149356,-
ENSGALG00000053879,,ensembl,miRNA,1,52163722,52163754,-
ENSGALG00000012559,LARGE1,ensembl,protein_coding,1,52678868,52954337,+
ENSGALG00000033432,NHLH2,ensembl,protein_coding,1,81203444,81204741,+
ENSGALG00000017148,CENPJ,ensembl,protein_coding,1,180615148,180632384,+
ENSGALG00000026482,,ensembl,misc_RNA,1,131765367,131765540,+
ENSGALG00000015018,CASQ2,ensembl,protein_coding,1,81232635,81309584,+
ENSGALG00000016739,HERC2,ensembl,protein_coding,1,131806734,131911385,+
ENSGALG00000045414,,ensembl,protein_coding,1,180635764,180648850,-
ENSGALG00000033589,SYN3,ensembl,protein_coding,1,53021721,53223751,+
ENSGALG00000055067,,ensembl,protein_coding,1,180854989,180866070,+
ENSGALG00000026507,FDX1,ensembl,protein_coding,1,180901126,180917603,-
ENSGALG00000028627,TIMP3,ensembl,protein_coding,1,53094947,53127580,-
ENSGALG00000017153,RDX,ensembl,protein_coding,1,180936321,180969903,+
ENSGALG00000015025,VANGL1,ensembl,protein_coding,1,81276492,81306906,-
ENSGALG00000015038,CHD1L,ensembl,protein_coding,1,81317906,81339566,-
ENSGALG00000012569,FBXO7,ensembl,protein_coding,1,53227761,53241371,-
ENSGALG00000015059,,ensembl,protein_coding,1,81342003,81357144,+
ENSGALG00000025426,,ensembl,miRNA,1,180980122,180980196,+
ENSGALG00000017154,ZC3H12C,ensembl,protein_coding,1,180987196,181008738,-
ENSGALG00000017155,C11orf87,ensembl,protein_coding,1,181226287,181226754,-
ENSGALG00000039479,BPIFC,ensembl,protein_coding,1,53270492,53286236,+
ENSGALG00000017156,DDX10,ensembl,protein_coding,1,181322903,181487159,-
ENSGALG00000015073,TMEM39A,ensembl,protein_coding,1,81358311,81383483,-
ENSGALG00000012611,RTCB,ensembl,protein_coding,1,53286579,53299252,+
ENSGALG00000015069,B4GALT4,ensembl,protein_coding,1,81391656,81407632,+
ENSGALG00000019304,,ensembl,pseudogene,1,53318634,53319200,-
ENSGALG00000022891,,ensembl,protein_coding,1,81408455,81422616,-
ENSGALG00000012619,PRDM4,ensembl,protein_coding,1,53325209,53342024,+
ENSGALG00000017158,POGLUT3,ensembl,protein_coding,1,181559336,181567603,+
ENSGALG00000012631,PWP1,ensembl,protein_coding,1,53343403,53357843,-
ENSGALG00000033664,MOV10L1,ensembl,protein_coding,1,20276230,20312309,+
ENSGALG00000015075,B3GAT1L,ensembl,protein_coding,1,81425204,81452490,-
ENSGALG00000017159,ATM,ensembl,protein_coding,1,181590958,181650668,-
ENSGALG00000015077,ARHGAP31,ensembl,protein_coding,1,81531508,81551013,+
ENSGALG00000026358,gga-mir-3539,ensembl,miRNA,1,81546036,81546106,+
ENSGALG00000000003,PANX2,ensembl,protein_coding,1,20328226,20347898,+
ENSGALG00000015079,UPK1B,ensembl,protein_coding,1,81562063,81573670,-
ENSGALG00000030705,TRABD,ensembl,protein_coding,1,20383039,20415387,+
ENSGALG00000039595,BTBD11,ensembl,protein_coding,1,53377416,53545431,-
ENSGALG00000016740,OCA2,ensembl,protein_coding,1,131975543,132105662,+
ENSGALG00000017162,,ensembl,pseudogene,1,181650846,181670657,+
ENSGALG00000012638,CRY1,ensembl,protein_coding,1,53591410,53626354,-
ENSGALG00000017163,ACAT1,ensembl,protein_coding,1,181673539,181685617,-
ENSGALG00000019240,,ensembl,protein_coding,1,81587631,81590954,-
ENSGALG00000041042,GABRG3,ensembl,protein_coding,1,132259464,132561163,-
ENSGALG00000017165,CUL5,ensembl,protein_coding,1,181692016,181714409,-
ENSGALG00000015084,IGSF11,ensembl,protein_coding,1,81625126,81711797,+
ENSGALG00000025578,gga-mir-1805,ensembl,miRNA,1,132328855,132328938,-
ENSGALG00000050721,,ensembl,miRNA,1,132368976,132369031,-
ENSGALG00000016744,GABRA5,ensembl,protein_coding,1,132566482,132611904,-
ENSGALG00000038467,SELENOO,ensembl,protein_coding,1,20448935,20462470,+
ENSGALG00000032156,TUBGCP6,ensembl,protein_coding,1,20464869,20488213,-
ENSGALG00000017166,RAB39A,ensembl,protein_coding,1,181732680,181742258,-
ENSGALG00000017167,SLC35F2,ensembl,protein_coding,1,181760889,181778160,+
ENSGALG00000029392,GABRB3,ensembl,protein_coding,1,132652407,132762481,+
ENSGALG00000051879,,ensembl,protein_coding,1,81813213,81814253,-
ENSGALG00000052522,,ensembl,protein_coding,1,81820856,81823870,-
ENSGALG00000040620,LSAMP,ensembl,protein_coding,1,82041116,83002376,+
ENSGALG00000012639,MTERF2,ensembl,protein_coding,1,53628604,53634012,+
ENSGALG00000017168,SLN,ensembl,protein_coding,1,181822186,181824109,+
ENSGALG00000012640,TMEM263,ensembl,protein_coding,1,53635743,53648531,-
