id,gene_version,GeneSymbol,gene_source,gene_biotype,Chr,Start,End,Strand
ENSGALG00000012550,6,HMOX1,ensembl,protein_coding,1,52103308,52109433,-
ENSGALG00000016736,6,CYFIP1,ensembl,protein_coding,1,131681532,131744672,+
ENSGALG00000023576,4,PIM3,ensembl,protein_coding,1,19335370,19339085,-
ENSGALG00000015006,7,MAB21L3,ensembl,protein_coding,1,81097708,81108336,-
ENSGALG00000017145,5,MPHOSPH8,ensembl,protein_coding,1,180550812,180568847,-
ENSGALG00000008554,6,IL17REL,ensembl,protein_coding,1,20198062,20240989,-
ENSGALG00000015016,6,SLC22A15,ensembl,protein_coding,1,81130221,81161028,-
ENSGALG00000052027,1,,ensembl,protein_coding,1,131722616,131727023,-
ENSGALG00000012552,6,TOM1,ensembl,protein_coding,1,52116279,52137392,-
ENSGALG00000016737,5,NIPA2,ensembl,protein_coding,1,131746791,131757830,-
ENSGALG00000040038,3,MLC1,ensembl,protein_coding,1,20257352,20275372,-
ENSGALG00000034473,3,PARP4,ensembl,protein_coding,1,180569335,180612944,-
ENSGALG00000039811,3,NIPA1,ensembl,protein_coding,1,131761291,131775917,-
ENSGALG00000044768,2,,ensembl,protein_coding,1,52139053,52143492,-
ENSGALG00000052369,1,,ensembl,protein_coding,1,52142885,52149356,-
ENSGALG00000012559,5,LARGE1,ensembl,protein_coding,1,52678868,52954337,+
ENSGALG00000033432,3,NHLH2,ensembl,protein_coding,1,81203444,81204741,+
ENSGALG00000017148,7,CENPJ,ensembl,protein_coding,1,180615148,180632384,+
ENSGALG00000015018,6,CASQ2,ensembl,protein_coding,1,81232635,81309584,+
ENSGALG00000016739,6,HERC2,ensembl,protein_coding,1,131806734,131911385,+
ENSGALG00000045414,2,,ensembl,protein_coding,1,180635764,180648850,-
ENSGALG00000033589,2,SYN3,ensembl,protein_coding,1,53021721,53223751,+
ENSGALG00000055067,1,,ensembl,protein_coding,1,180854989,180866070,+
ENSGALG00000026507,2,FDX1,ensembl,protein_coding,1,180901126,180917603,-
ENSGALG00000028627,3,TIMP3,ensembl,protein_coding,1,53094947,53127580,-
ENSGALG00000017153,6,RDX,ensembl,protein_coding,1,180936321,180969903,+
ENSGALG00000015025,6,VANGL1,ensembl,protein_coding,1,81276492,81306906,-
ENSGALG00000015038,7,CHD1L,ensembl,protein_coding,1,81317906,81339566,-
ENSGALG00000012569,6,FBXO7,ensembl,protein_coding,1,53227761,53241371,-
ENSGALG00000015059,5,,ensembl,protein_coding,1,81342003,81357144,+
ENSGALG00000017154,6,ZC3H12C,ensembl,protein_coding,1,180987196,181008738,-
ENSGALG00000017155,7,C11orf87,ensembl,protein_coding,1,181226287,181226754,-
ENSGALG00000039479,2,BPIFC,ensembl,protein_coding,1,53270492,53286236,+
ENSGALG00000017156,6,DDX10,ensembl,protein_coding,1,181322903,181487159,-
ENSGALG00000015073,6,TMEM39A,ensembl,protein_coding,1,81358311,81383483,-
