id,GeneSymbol,gene_source,gene_biotype,Chr,Start,End,Strand
FBgn0250732,gfzf,FlyBase,protein_coding,3R,7145880,7150968,-
FBgn0037409,Osi24,FlyBase,protein_coding,3R,6198811,6207678,+
FBgn0027948,msps,FlyBase,protein_coding,3R,16050801,16060675,+
FBgn0038675,CG6013,FlyBase,protein_coding,3R,19031503,19032409,+
FBgn0000500,Dsk,FlyBase,protein_coding,3R,4189692,4190260,-
FBgn0037610,CG8043,FlyBase,protein_coding,3R,8676915,8678233,+
FBgn0053095,CG33095,FlyBase,protein_coding,3R,25097672,25102146,+
FBgn0038070,CG6753,FlyBase,protein_coding,3R,12640163,12642482,-
FBgn0261859,CG42788,FlyBase,protein_coding,3R,15095957,15131926,-
FBgn0037363,Atg17,FlyBase,protein_coding,3R,5669713,5679930,+
FBgn0039552,CG12426,FlyBase,protein_coding,3R,27871501,27872390,-
FBgn0039732,CG15525,FlyBase,protein_coding,3R,29996961,29997676,-
FBgn0038224,ATPsynE,FlyBase,protein_coding,3R,14326947,14327735,+
FBgn0264776,CG44014,FlyBase,protein_coding,3R,15507940,15508886,-
FBgn0038525,CG14329,FlyBase,protein_coding,3R,17609359,17610533,+
FBgn0262899,CG43254,FlyBase,protein_coding,3R,7738965,7739563,-
FBgn0261436,DhpD,FlyBase,protein_coding,3R,4227387,4229238,-
FBgn0038814,CG15923,FlyBase,protein_coding,3R,20611251,20616901,-
FBgn0038279,Sdr,FlyBase,protein_coding,3R,14918628,14923083,+
FBgn0037625,CG11768,FlyBase,protein_coding,3R,8749206,8768200,-
FBgn0053093,CG33093,FlyBase,protein_coding,3R,22530694,22531922,-
FBgn0027574,CG5815,FlyBase,protein_coding,3R,27112566,27115126,+
FBgn0260746,Ect3,FlyBase,protein_coding,3R,11999278,12003516,+
FBgn0037930,CG14715,FlyBase,protein_coding,3R,11674221,11674923,+
FBgn0038709,CG15025,FlyBase,protein_coding,3R,19489570,19491115,-
FBgn0027095,Manf,FlyBase,protein_coding,3R,16349404,16350801,+
FBgn0051450,mRpS18A,FlyBase,protein_coding,3R,8561917,8562593,-
FBgn0038774,CG5023,FlyBase,protein_coding,3R,20169435,20174872,+
FBgn0037794,CG6254,FlyBase,protein_coding,3R,10159144,10161331,-
FBgn0039229,Saf-B,FlyBase,protein_coding,3R,24817464,24822350,+
FBgn0038737,CG11447,FlyBase,protein_coding,3R,19861610,19862600,+
FBgn0037399,Or83c,FlyBase,protein_coding,3R,6076804,6078283,-
FBgn0039291,CG13663,FlyBase,protein_coding,3R,25214325,25215188,-
FBgn0037547,CG7910,FlyBase,protein_coding,3R,8087252,8089526,+
FBgn0038966,pinta,FlyBase,protein_coding,3R,22423316,22424929,-
FBgn0037690,Task7,FlyBase,protein_coding,3R,9410329,9412293,-
FBgn0038783,CG4367,FlyBase,protein_coding,3R,20303955,20304977,-
FBgn0038055,trus,FlyBase,protein_coding,3R,12456573,12458444,+
FBgn0261792,snRNP-U1-C,FlyBase,protein_coding,3R,18982964,18983650,-
FBgn0040606,CG6503,FlyBase,protein_coding,3R,26424698,26425105,-
FBgn0037709,CG8199,FlyBase,protein_coding,3R,9555785,9557776,+
FBgn0051106,CG31106,FlyBase,protein_coding,3R,25216297,25218708,+
FBgn0039131,CG12268,FlyBase,protein_coding,3R,23943628,23948424,-
FBgn0037777,CG11722,FlyBase,protein_coding,3R,10044596,10045542,-
FBgn0046685,Wsck,FlyBase,protein_coding,3R,24627066,24630075,-
FBgn0259733,tal-AA,FlyBase,protein_coding,3R,13813109,13814648,+
FBgn0038993,CG13843,FlyBase,protein_coding,3R,22609485,22610715,+
FBgn0039313,CG11892,FlyBase,protein_coding,3R,25281548,25283237,+
FBgn0004395,unk,FlyBase,protein_coding,3R,23149653,23157862,-
FBgn0051201,GluRIIE,FlyBase,protein_coding,3R,20644154,20648716,-
FBgn0266674,Sec15,FlyBase,protein_coding,3R,21105046,21107972,-
FBgn0039019,HP1c,FlyBase,protein_coding,3R,22745620,22746605,+
FBgn0039172,Spase22-23,FlyBase,protein_coding,3R,24228342,24230035,-
FBgn0011290,Taf12,FlyBase,protein_coding,3R,11678386,11679690,-
FBgn0037747,Naa80,FlyBase,protein_coding,3R,9767834,9770027,+
FBgn0037751,topi,FlyBase,protein_coding,3R,9775121,9777943,+
FBgn0039486,CAH9,FlyBase,protein_coding,3R,27102988,27106184,-
FBgn0039228,CG6980,FlyBase,protein_coding,3R,24807621,24808677,+
FBgn0039073,CG4408,FlyBase,protein_coding,3R,23361889,23363574,-
FBgn0040256,Ugt35C1,FlyBase,protein_coding,3R,11126597,11128328,-
FBgn0037888,scpr-B,FlyBase,protein_coding,3R,11240041,11240991,-
FBgn0039404,CG14543,FlyBase,protein_coding,3R,26056630,26057350,+
FBgn0038342,B9d1,FlyBase,protein_coding,3R,15481906,15482904,+
