id,gene_version,GeneSymbol,gene_source,gene_biotype,Chr,Start,End,Strand
ENSDARG00000009657,8,fgfr1op2,ensembl_havana,protein_coding,4,1722899,1730920,+
ENSDARG00000096156,3,si:dkey-21h14.12,havana,protein_coding,4,11099041,11106856,-
ENSDARG00000076160,6,si:dkey-285e18.2,havana,protein_coding,4,40835393,40839221,+
ENSDARG00000117163,1,znf1114,havana,protein_coding,4,30409750,30422325,-
ENSDARG00000096187,2,si:dkey-21h14.10,havana,protein_coding,4,11112580,11122638,-
ENSDARG00000076014,6,ERC1,ensembl_havana,protein_coding,4,8213063,8515824,+
ENSDARG00000098876,2,si:dkey-199m13.5,havana,protein_coding,4,30428468,30440116,-
ENSDARG00000031930,10,erc1b,havana,protein_coding,4,8376362,8515824,+
ENSDARG00000103471,2,si:dkey-199m13.4,ensembl_havana,protein_coding,4,30454496,30460765,+
ENSDARG00000093665,4,si:dkey-285e18.5,havana,protein_coding,4,40846483,40854534,-
ENSDARG00000098144,2,si:dkey-285e18.6,havana,protein_coding,4,40858450,40861846,+
ENSDARG00000093658,4,tm7sf3,ensembl_havana,protein_coding,4,1732825,1757460,-
ENSDARG00000095324,5,galnt8b.2,ensembl_havana,protein_coding,4,5215950,5223170,+
ENSDARG00000098510,2,zgc:174650,ensembl_havana,protein_coding,4,40880433,40883162,-
ENSDARG00000021336,8,pax4,ensembl_havana,protein_coding,4,19700308,19704628,+
ENSDARG00000094646,4,dyrk2,ensembl_havana,protein_coding,4,13449775,13462784,+
ENSDARG00000021595,7,lhfpl3,ensembl_havana,protein_coding,4,22365061,22419743,+
ENSDARG00000096153,2,si:dkey-21h14.9,havana,protein_coding,4,11124614,11132617,-
ENSDARG00000095200,4,si:ch211-197e7.1,ensembl_havana,protein_coding,4,49765093,49808690,-
ENSDARG00000096463,2,si:dkeyp-82h4.1,havana,protein_coding,4,40971399,40972393,-
ENSDARG00000102062,2,si:dkeyp-82h4.3,ensembl_havana,protein_coding,4,41057692,41196398,-
ENSDARG00000090116,4,znf1136,ensembl_havana,protein_coding,4,40953320,41014777,+
ENSDARG00000102464,2,wnt5b,ensembl_havana,protein_coding,4,8532580,8663117,+
ENSDARG00000095149,4,znf1062,ensembl_havana,protein_coding,4,41157276,41166287,+
ENSDARG00000092714,2,si:ch211-266a5.12,ensembl_havana,protein_coding,4,13499264,13502549,-
ENSDARG00000112103,1,si:dkey-16p19.1,ensembl_havana,protein_coding,4,41082518,41088690,+
ENSDARG00000045801,7,fbxl14b,ensembl_havana,protein_coding,4,8609517,8611841,-
ENSDARG00000104074,2,znf1052,havana,protein_coding,4,30521650,30528239,-
ENSDARG00000015623,12,ada2b,ensembl_havana,protein_coding,4,5225552,5240128,-
ENSDARG00000102559,2,si:dkey-16p19.5,ensembl_havana,protein_coding,4,30707282,30712588,-
ENSDARG00000030694,5,atp6v1e1b,ensembl_havana,protein_coding,4,5240126,5247335,-
ENSDARG00000030598,8,nampta,ensembl_havana,protein_coding,4,3358383,3385452,+
ENSDARG00000101775,2,zgc:172014,ensembl_havana,protein_coding,4,30775376,30780676,+
ENSDARG00000090160,7,zgc:173709,ensembl_havana,protein_coding,4,49821234,49952636,-
ENSDARG00000045758,6,cracr2ab,ensembl_havana,protein_coding,4,11135048,11148941,+
ENSDARG00000096491,2,si:ch211-73m21.1,havana,protein_coding,4,41202536,41209037,-
ENSDARG00000045760,6,prmt8b,ensembl_havana,protein_coding,4,11144600,11165961,-
ENSDARG00000031346,11,rbm17,ensembl_havana,protein_coding,4,25497104,25515591,-
