id,GeneSymbol,gene_source,gene_biotype,Chr,Start,End,Strand
ENSMUSG00000102628,Gm37671,havana,TEC,1,150956201,150958296,+
ENSMUSG00000100595,Gm19087,havana,processed_pseudogene,1,150983666,150984611,+
ENSMUSG00000097426,Gm8941,havana,processed_pseudogene,1,151012258,151013531,+
ENSMUSG00000104478,Gm38212,havana,TEC,1,108344807,108347562,+
ENSMUSG00000104385,Gm7449,havana,processed_pseudogene,1,6980784,6981446,+
ENSMUSG00000086053,Gm15178,havana,lncRNA,1,75368775,75373007,-
ENSMUSG00000101231,Gm28283,havana,processed_pseudogene,1,108540067,108540244,-
ENSMUSG00000102135,Gm37108,havana,processed_pseudogene,1,6986783,6993812,+
ENSMUSG00000103282,Gm37275,havana,processed_pseudogene,1,6999983,7000012,+
ENSMUSG00000101097,Gm6679,havana,processed_pseudogene,1,108697865,108699733,+
ENSMUSG00000100764,Gm29155,havana,lncRNA,1,43781121,43783055,-
ENSMUSG00000102095,C730036E19Rik,havana,lncRNA,1,151013785,151018096,+
ENSMUSG00000102534,Gm37225,havana,processed_pseudogene,1,7068441,7068765,+
ENSMUSG00000100831,Gm17847,havana,processed_pseudogene,1,108925364,108926490,-
ENSMUSG00000100884,Gm28281,havana,processed_pseudogene,1,109502673,109502859,-
ENSMUSG00000100635,Gm29157,havana,lncRNA,1,43782075,43782686,+
ENSMUSG00000102213,Gm37489,havana,processed_pseudogene,1,7083986,7084144,+
ENSMUSG00000100480,Gm29156,havana,lncRNA,1,43784944,43785442,-
ENSMUSG00000114212,Gm47985,havana,protein_coding,1,151058288,151059994,+
ENSMUSG00000089037,Gm22159,ensembl,snoRNA,1,109550738,109550867,-
ENSMUSG00000103629,Gm5694,havana,processed_pseudogene,1,7106139,7107441,+
ENSMUSG00000114943,Gm8947,havana,protein_coding,1,151068127,151069805,+
ENSMUSG00002076531,7SK,ensembl,misc_RNA,1,109732490,109732774,+
ENSMUSG00000100025,Gm8141,havana,processed_pseudogene,1,109760754,109762476,+
ENSMUSG00000114694,Gm47995,havana,protein_coding,1,151074199,151075101,+
ENSMUSG00000114582,3110040M04Rik,havana,protein_coding,1,151079872,151080816,+
ENSMUSG00000114591,Gm47996,havana,protein_coding,1,151085882,151086823,+
ENSMUSG00002076687,U2,ensembl,snRNA,1,151136575,151136665,-
ENSMUSG00000100954,Gm10138,ensembl_havana,lncRNA,1,151215355,151220982,-
ENSMUSG00000051285,Pcmtd1,ensembl_havana,protein_coding,1,7159144,7243852,+
ENSMUSG00000098201,Gm26983,havana,processed_pseudogene,1,7206423,7206810,-
ENSMUSG00000103509,Gm38372,havana,TEC,1,7218334,7222361,+
ENSMUSG00000048538,Gm9826,ensembl_havana,processed_pseudogene,1,7247963,7249261,+
ENSMUSG00000103709,Nras-ps2,havana,processed_pseudogene,1,7259966,7260143,-
ENSMUSG00000077244,Gm23274,ensembl,snoRNA,1,7336027,7336156,+
ENSMUSG00000102768,Gm19002,havana,processed_pseudogene,1,7385675,7386686,+
ENSMUSG00000097797,Gm26901,havana,lncRNA,1,7419630,7468093,-
ENSMUSG00000103498,Gm18984,havana,processed_pseudogene,1,7480903,7482217,+
ENSMUSG00000103067,Gm30414,havana,lncRNA,1,7568192,7588373,+
ENSMUSG00000102320,Gm37791,havana,processed_pseudogene,1,7661870,7662155,+
ENSMUSG00000104226,Gm7470,havana,processed_pseudogene,1,7667603,7669697,+
ENSMUSG00000103903,Rps2-ps2,havana,processed_pseudogene,1,7734305,7735185,+
ENSMUSG00000103557,Gm38216,havana,processed_pseudogene,1,7799085,7800789,-
ENSMUSG00000026312,Cdh7,ensembl_havana,protein_coding,1,109910161,110067887,+
ENSMUSG00000100290,Gm18552,havana,processed_pseudogene,1,110338473,110339010,-
ENSMUSG00000100758,Gm3332,havana,processed_pseudogene,1,110403333,110404260,+
ENSMUSG00000099926,Gm6693,havana,processed_pseudogene,1,110527751,110528563,+
ENSMUSG00000039748,Exo1,ensembl_havana,protein_coding,1,175708147,175741055,+
ENSMUSG00000118715,U6,ensembl,snRNA,1,175732111,175732217,+
ENSMUSG00000104158,Gm38100,havana,protein_coding,1,175747895,175749791,+
ENSMUSG00000103540,Gm37668,havana,TEC,1,175783021,175784964,-
ENSMUSG00000057363,Uxs1,ensembl_havana,protein_coding,1,43786126,43866960,-
ENSMUSG00000047216,Cdh19,ensembl_havana,protein_coding,1,110816056,110905314,-
ENSMUSG00000102788,Gm38255,havana,TEC,1,110885561,110888556,-
ENSMUSG00000102160,Gm36944,havana,TEC,1,110892409,110895167,-
ENSMUSG00000101253,Gm29088,havana,lncRNA,1,111313420,111374375,-
ENSMUSG00000101846,Gm19927,havana,processed_pseudogene,1,111313648,111314428,+
ENSMUSG00000090243,Gm16103,havana,processed_pseudogene,1,43825070,43826348,+
ENSMUSG00000100701,Gm19587,havana,processed_pseudogene,1,43927211,43927755,+
ENSMUSG00000100555,Gm8173,havana,processed_pseudogene,1,111732664,111735505,-
ENSMUSG00000101395,Gm8241,havana,processed_pseudogene,1,43937454,43938269,+
ENSMUSG00000102728,Gm37934,havana,TEC,1,111761553,111761954,+
ENSMUSG00000088848,Gm26352,ensembl,snoRNA,1,43942088,43942212,+
ENSMUSG00002075225,,ensembl,miRNA,1,43957937,43958046,-
ENSMUSG00000038702,Dsel,ensembl_havana,protein_coding,1,111786432,111792648,-
ENSMUSG00000101875,Gm6028,havana,processed_pseudogene,1,111808465,111809038,-
ENSMUSG00000099732,Gm17752,havana,processed_pseudogene,1,111977166,111984840,-
ENSMUSG00000101220,Gm6717,havana,processed_pseudogene,1,112065598,112066435,+
ENSMUSG00000100020,Gm19086,havana,processed_pseudogene,1,112078819,112079483,+
ENSMUSG00000101054,Gm18406,havana,processed_pseudogene,1,112331917,112332585,-
ENSMUSG00000088691,Gm22331,ensembl,snoRNA,1,112395641,112395776,+
ENSMUSG00000099884,Gm8204,havana,processed_pseudogene,1,112801575,112803718,-
ENSMUSG00000100304,Gm28190,havana,processed_pseudogene,1,112893272,112894661,-
ENSMUSG00000101453,Gm28189,havana,lncRNA,1,113217070,113218095,+
ENSMUSG00000102105,Gm17946,havana,processed_pseudogene,1,113493176,113493713,-
ENSMUSG00000099943,Gm18181,havana,processed_pseudogene,1,113510501,113511236,-
ENSMUSG00002075119,,ensembl,snoRNA,1,113645644,113645777,-
ENSMUSG00000097648,9330185C12Rik,havana,lncRNA,1,113819115,113891864,-
ENSMUSG00000101687,Gm4854,havana,processed_pseudogene,1,115146920,115147493,-
ENSMUSG00000100515,Gm17916,havana,transcribed_processed_pseudogene,1,115596718,115612354,-
ENSMUSG00000033021,Gmppa,ensembl_havana,protein_coding,1,75412574,75419823,+
ENSMUSG00000055214,Pld5,ensembl_havana,protein_coding,1,175789872,176102878,-
