id,GeneSymbol,gene_source,gene_biotype,Chr,Start,End,Strand
ENSXETG00000024149,ebi3,ensembl,protein_coding,1,75190570,75196389,+
ENSXETG00000020472,pacrgl,ensembl,protein_coding,1,22667965,22678493,-
ENSXETG00000041181,atoh8,ensembl,protein_coding,1,14977578,15006333,+
ENSXETG00000001974,st3gal5,ensembl,protein_coding,1,15029746,15061294,-
ENSXETG00000041245,dnah5,ensembl,protein_coding,1,75286423,75298068,+
ENSXETG00000024147,b4galt1.1,ensembl,protein_coding,1,75345175,75401726,+
ENSXETG00000021607,grin3b,ensembl,protein_coding,1,81444579,81466965,-
ENSXETG00000030302,,ensembl,protein_coding,1,133270,152620,-
ENSXETG00000019216,XB5957215,ensembl,protein_coding,1,67209717,67239767,-
ENSXETG00000024146,b4galt1.2,ensembl,protein_coding,1,75411277,75458986,-
ENSXETG00000037036,,ensembl,protein_coding,1,329306,329470,-
ENSXETG00000025168,abce1,ensembl,protein_coding,1,49658291,49673795,+
ENSXETG00000019215,hpgds,ensembl,protein_coding,1,67341792,67359408,+
ENSXETG00000039227,,ensembl,protein_coding,1,188382414,188383651,+
ENSXETG00000034074,gpat4,ensembl,protein_coding,1,125408569,125410561,+
ENSXETG00000002418,,ensembl,protein_coding,1,587273,612979,+
ENSXETG00000001660,XB5815362,ensembl,protein_coding,1,116810671,116817851,-
ENSXETG00000028985,xtr-mir-122,ensembl,miRNA,1,188440156,188440224,-
ENSXETG00000039580,,ensembl,protein_coding,1,620366,621573,+
ENSXETG00000020945,ift81,ensembl,protein_coding,1,153932605,153982320,+
ENSXETG00000021612,wdr18,ensembl,protein_coding,1,81492592,81501586,-
ENSXETG00000024946,comt.2,ensembl,protein_coding,1,146407043,146424231,+
ENSXETG00000036832,,ensembl,protein_coding,1,125414244,125417215,+
ENSXETG00000033321,foxd1,ensembl,protein_coding,1,146413046,146435372,+
ENSXETG00000021613,arid3a,ensembl,protein_coding,1,81527582,81566275,-
ENSXETG00000001667,foxd4l1.1,ensembl,protein_coding,1,116834673,116836298,+
ENSXETG00000002403,mogs,ensembl,protein_coding,1,654078,655715,-
ENSXETG00000004188,isl1,ensembl,protein_coding,1,180486981,180498252,-
ENSXETG00000033700,dcun1d2,ensembl,protein_coding,1,125555285,125556406,+
ENSXETG00000001668,foxd4l1.2,ensembl,protein_coding,1,116850960,116851976,-
ENSXETG00000036218,,ensembl,protein_coding,1,180600506,180601546,-
ENSXETG00000040274,U4,ensembl,snRNA,1,708995,709161,-
ENSXETG00000017606,otud4,ensembl,protein_coding,1,49680320,49716428,-
ENSXETG00000021618,kiss1r,ensembl,protein_coding,1,81650665,81685858,-
ENSXETG00000024145,smu1,ensembl,protein_coding,1,75503046,75524326,+
ENSXETG00000017706,parp8,ensembl,protein_coding,1,180800210,180951024,-
ENSXETG00000017712,emb,ensembl,protein_coding,1,180985145,181003846,+
ENSXETG00000033450,golga1,ensembl,protein_coding,1,2179832,2195287,+
ENSXETG00000011128,oma1,ensembl,protein_coding,1,125587107,125642425,-
ENSXETG00000015510,rpl35,ensembl,protein_coding,1,178309794,178363513,+
ENSXETG00000037881,wdr38,ensembl,protein_coding,1,2189758,2190661,-
ENSXETG00000010855,cks2,ensembl,protein_coding,1,125658643,125662047,+
ENSXETG00000035710,r3hdm4,ensembl,protein_coding,1,81811957,81830884,+
