id,GeneSymbol,gene_source,gene_biotype,Chr,Start,End,Strand
WBGene00000003,aat-2,WormBase,protein_coding,V,9244402,9246360,-
WBGene00000007,aat-6,WormBase,protein_coding,V,11466844,11470663,-
WBGene00000014,abf-3,WormBase,protein_coding,V,15817410,15817846,-
WBGene00000015,abf-4,WormBase,protein_coding,V,20557945,20558379,-
WBGene00000022,abt-4,WormBase,protein_coding,V,323774,330725,-
WBGene00000024,abu-1,WormBase,protein_coding,V,10380340,10381826,-
WBGene00000027,abu-4,WormBase,protein_coding,V,2274842,2275977,+
WBGene00000029,abu-6,WormBase,protein_coding,V,5160671,5161892,-
WBGene00000030,abu-7,WormBase,protein_coding,V,5163396,5164759,-
WBGene00000031,abu-8,WormBase,protein_coding,V,5163269,5194608,-
WBGene00000054,acr-15,WormBase,protein_coding,V,8552695,8555388,+
WBGene00000055,acr-16,WormBase,protein_coding,V,8561216,8564345,+
WBGene00000056,acr-17,WormBase,protein_coding,V,2608656,2615247,+
WBGene00000057,acr-18,WormBase,protein_coding,V,15551155,15559147,-
WBGene00000062,acr-23,WormBase,protein_coding,V,3651686,3659499,-
WBGene00000063,act-1,WormBase,protein_coding,V,11079167,11082497,+
WBGene00000064,act-2,WormBase,protein_coding,V,11076723,11078168,-
WBGene00000065,act-3,WormBase,protein_coding,V,11071690,11074498,-
WBGene00000069,acy-2,WormBase,protein_coding,V,5976029,5981513,+
WBGene00000071,acy-4,WormBase,protein_coding,V,5624727,5630892,-
WBGene00000073,add-2,WormBase,protein_coding,V,12009537,12013605,-
WBGene00000097,aip-1,WormBase,protein_coding,V,14012333,14013644,+
WBGene00000098,air-1,WormBase,protein_coding,V,8221410,8223587,+
WBGene00000102,akt-1,WormBase,protein_coding,V,10248907,10252895,+
WBGene00000108,alh-2,WormBase,protein_coding,V,1644169,1647728,+
WBGene00000110,alh-4,WormBase,protein_coding,V,6427212,6429927,-
WBGene00000111,alh-5,WormBase,protein_coding,V,1996100,1999581,-
WBGene00000139,amx-3,WormBase,protein_coding,V,20898840,20903441,-
WBGene00000142,aos-1,WormBase,protein_coding,V,10127492,10130295,-
WBGene00000144,apc-10,WormBase,protein_coding,V,10425362,10426399,-
WBGene00000146,ape-1,WormBase,protein_coding,V,11675942,11685268,+
WBGene00000159,aps-1,WormBase,protein_coding,V,6017970,6018886,+
WBGene00000168,apx-1,WormBase,protein_coding,V,3210189,3223218,+
WBGene00000172,aqp-4,WormBase,protein_coding,V,9737556,9739740,+
WBGene00000173,aqp-5,WormBase,protein_coding,V,10491743,10493268,+
WBGene00000174,aqp-6,WormBase,protein_coding,V,10648446,10651952,+
WBGene00000200,arx-2,WormBase,protein_coding,V,10335443,10338355,-
WBGene00000214,asp-1,WormBase,protein_coding,V,19049461,19050825,-
WBGene00000215,asp-2,WormBase,protein_coding,V,9203077,9204734,+
WBGene00000218,asp-5,WormBase,protein_coding,V,8272375,8274046,+
WBGene00000219,asp-6,WormBase,protein_coding,V,8267511,8268937,-
WBGene00000226,atl-1,WormBase,protein_coding,V,9634861,9645595,-
WBGene00000228,atn-1,WormBase,protein_coding,V,12478413,12484442,+
WBGene00000233,avr-15,WormBase,protein_coding,V,13498786,13511718,-
WBGene00000244,bbs-8,WormBase,protein_coding,V,6762476,6765072,-
WBGene00000249,bir-1,WormBase,protein_coding,V,11644760,11645370,+
WBGene00000250,bir-2,WormBase,protein_coding,V,13568850,13570030,+
WBGene00000257,bmk-1,WormBase,protein_coding,V,14453305,14456998,-
WBGene00000285,cal-1,WormBase,protein_coding,V,12514875,12517205,-
WBGene00000298,cat-4,WormBase,protein_coding,V,10564880,10566445,+
WBGene00000302,cav-2,WormBase,protein_coding,V,13557104,13559922,+
WBGene00000373,cyp-14A5,WormBase,protein_coding,V,5421018,5423488,-
WBGene00000387,cdc-25.2,WormBase,protein_coding,V,1567076,1585532,+
WBGene00000412,cdr-1,WormBase,protein_coding,V,15921309,15922818,+
WBGene00000445,ceh-22,WormBase,protein_coding,V,10672459,10675644,+
WBGene00000447,ceh-24,WormBase,protein_coding,V,13813309,13815272,+
WBGene00000449,ceh-27,WormBase,protein_coding,V,11661670,11665085,-
WBGene00000453,ceh-32,WormBase,protein_coding,V,11701764,11705400,-
WBGene00000454,ceh-33,WormBase,protein_coding,V,5323204,5324616,-
WBGene00000455,ceh-34,WormBase,protein_coding,V,5315513,5319577,-
WBGene00000477,cft-1,WormBase,protein_coding,V,5538800,5545766,+
WBGene00000478,cfz-2,WormBase,protein_coding,V,3441504,3444877,-
WBGene00000480,cgp-1,WormBase,protein_coding,V,118043,122966,-
WBGene00000488,che-7,WormBase,protein_coding,V,7961539,7968899,-
WBGene00000490,che-11,WormBase,protein_coding,V,12144295,12150689,-
WBGene00000491,che-12,WormBase,protein_coding,V,10299473,10307354,-
WBGene00000498,chk-1,WormBase,protein_coding,V,3757047,3759469,-
WBGene00000499,chk-2,WormBase,protein_coding,V,19908765,19916023,-
WBGene00000514,ckb-4,WormBase,protein_coding,V,2106398,2109418,-
WBGene00000521,cky-1,WormBase,protein_coding,V,12736703,12741211,+
WBGene00000533,clh-6,WormBase,protein_coding,V,12060234,12063368,-
WBGene00000534,cpi-2,WormBase,protein_coding,V,6044028,6045671,+
WBGene00000539,cln-3.1,WormBase,protein_coding,V,11263523,11265711,-
WBGene00000541,cln-3.3,WormBase,protein_coding,V,8682955,8686160,+
WBGene00000552,cmd-1,WormBase,protein_coding,V,1156271,1158174,+
WBGene00000554,cnb-1,WormBase,protein_coding,V,11375742,11377990,+
WBGene00000555,cnc-1,WormBase,protein_coding,V,1444044,1444280,-
WBGene00000556,cnc-2,WormBase,protein_coding,V,1449665,1450189,-
WBGene00000557,cnc-3,WormBase,protein_coding,V,1448004,1448790,+
WBGene00000558,cnc-4,WormBase,protein_coding,V,1447195,1447707,+
WBGene00000559,cnc-5,WormBase,protein_coding,V,1445381,1445832,+
WBGene00000562,cng-1,WormBase,protein_coding,V,15025740,15031473,-
WBGene00000592,coh-3,WormBase,protein_coding,V,14457475,14460136,+
WBGene00000599,col-10,WormBase,protein_coding,V,9164297,9165307,-
WBGene00000601,col-12,WormBase,protein_coding,V,10423907,10425092,-
WBGene00000602,col-13,WormBase,protein_coding,V,10420890,10421892,-
WBGene00000614,col-37,WormBase,protein_coding,V,12166706,12167753,-
WBGene00000620,col-43,WormBase,protein_coding,V,8049744,8050893,-
WBGene00000712,col-139,WormBase,protein_coding,V,4652863,4654007,-
WBGene00000713,col-140,WormBase,protein_coding,V,5835855,5836871,-
WBGene00000714,col-141,WormBase,protein_coding,V,6829666,6830721,+
WBGene00000715,col-142,WormBase,protein_coding,V,6831163,6832256,+
WBGene00000716,col-143,WormBase,protein_coding,V,6835635,6836700,+
WBGene00000717,col-144,WormBase,protein_coding,V,9159642,9160642,-
WBGene00000718,col-145,WormBase,protein_coding,V,9162051,9163005,-
WBGene00000719,col-146,WormBase,protein_coding,V,9629943,9631012,+
WBGene00000720,col-147,WormBase,protein_coding,V,9632029,9633338,-
WBGene00000721,col-148,WormBase,protein_coding,V,10241784,10242718,+
WBGene00000722,col-149,WormBase,protein_coding,V,10291697,10292869,-
WBGene00000723,col-150,WormBase,protein_coding,V,10293563,10294623,-
WBGene00000724,col-151,WormBase,protein_coding,V,10393531,10395232,-
WBGene00000725,col-152,WormBase,protein_coding,V,10560921,10562150,+
WBGene00000726,col-153,WormBase,protein_coding,V,10949857,10951821,+
WBGene00000727,col-154,WormBase,protein_coding,V,11385360,11386529,+
WBGene00000728,col-155,WormBase,protein_coding,V,11388852,11389876,-
WBGene00000729,col-156,WormBase,protein_coding,V,11449223,11450357,-
WBGene00000730,col-157,WormBase,protein_coding,V,11484032,11484998,+
WBGene00000731,col-158,WormBase,protein_coding,V,11829582,11831220,+
WBGene00000732,col-159,WormBase,protein_coding,V,13198230,13199315,-
WBGene00000733,col-160,WormBase,protein_coding,V,13200982,13202192,-
WBGene00000734,col-161,WormBase,protein_coding,V,13317028,13318011,-
WBGene00000735,col-162,WormBase,protein_coding,V,13441967,13443402,+
WBGene00000736,col-163,WormBase,protein_coding,V,20600095,20602474,+
WBGene00000766,coq-6,WormBase,protein_coding,V,9336762,9338858,+
WBGene00000776,cpl-1,WormBase,protein_coding,V,16592572,16595346,-
WBGene00000781,cpr-1,WormBase,protein_coding,V,11975515,11976756,+
WBGene00000782,cpr-2,WormBase,protein_coding,V,16533004,16534110,-
WBGene00000783,cpr-3,WormBase,protein_coding,V,15296853,15298700,-
WBGene00000784,cpr-4,WormBase,protein_coding,V,6614674,6615845,+
WBGene00000785,cpr-5,WormBase,protein_coding,V,1132598,1134036,-
WBGene00000789,cpz-2,WormBase,protein_coding,V,13381189,13383077,+
WBGene00000795,crn-2,WormBase,protein_coding,V,5594615,5595842,+
WBGene00000802,crt-1,WormBase,protein_coding,V,6098993,6100553,-
WBGene00000813,csn-1,WormBase,protein_coding,V,17861368,17870651,-
WBGene00000838,cul-3,WormBase,protein_coding,V,177421,184966,+
WBGene00000840,cul-5,WormBase,protein_coding,V,10179535,10183154,+
WBGene00000859,cwp-1,WormBase,protein_coding,V,4840619,4841269,-
WBGene00000860,cwp-2,WormBase,protein_coding,V,4841940,4842567,-
WBGene00000861,cwp-3,WormBase,protein_coding,V,4842836,4843845,+
WBGene00000862,cwp-4,WormBase,protein_coding,V,5053619,5056473,+
WBGene00000868,cyb-3,WormBase,protein_coding,V,15395696,15397348,+
WBGene00000876,cyl-1,WormBase,protein_coding,V,11991011,11993767,-
WBGene00000877,cyn-1,WormBase,protein_coding,V,14356076,14356823,+
WBGene00000879,cyn-3,WormBase,protein_coding,V,15189927,15190926,+
WBGene00000883,cyn-7,WormBase,protein_coding,V,15186582,15187787,-
WBGene00000893,cyn-17,WormBase,protein_coding,V,5799673,5805666,+
WBGene00000907,daf-11,WormBase,protein_coding,V,11718089,11725652,-
WBGene00000915,hsp-90,WormBase,protein_coding,V,14684918,14688543,+
WBGene00000920,daf-28,WormBase,protein_coding,V,19815133,19816451,+
WBGene00000936,dbl-1,WormBase,protein_coding,V,6758135,6760418,+
WBGene00000940,dcs-1,WormBase,protein_coding,V,20087848,20090743,-
WBGene00000951,deg-3,WormBase,protein_coding,V,11412870,11415159,-
WBGene00000955,des-2,WormBase,protein_coding,V,11415342,11420293,-
WBGene00000976,dhs-13,WormBase,protein_coding,V,1765311,1771734,-
WBGene00000977,dhs-14,WormBase,protein_coding,V,2763981,2765274,-
WBGene00000978,dhs-15,WormBase,protein_coding,V,2768419,2769854,-
WBGene00000979,dhs-16,WormBase,protein_coding,V,5983745,5985473,+
WBGene00000980,dhs-17,WormBase,protein_coding,V,6026330,6034923,-
WBGene00000981,dhs-18,WormBase,protein_coding,V,11045696,11046899,-
WBGene00000982,dhs-19,WormBase,protein_coding,V,11489050,11490328,-
WBGene00000983,dhs-20,WormBase,protein_coding,V,11602294,11604563,-
WBGene00000984,dhs-21,WormBase,protein_coding,V,12731772,12733645,-
WBGene00000985,dhs-22,WormBase,protein_coding,V,14420071,14421450,-
WBGene00000986,dhs-23,WormBase,protein_coding,V,15381097,15382305,+
WBGene00000987,dhs-24,WormBase,protein_coding,V,19934795,19946629,-
WBGene00001021,dnj-3,WormBase,protein_coding,V,15068678,15069504,+
WBGene00001037,dnj-19,WormBase,protein_coding,V,5503033,5504856,-
WBGene00001040,dnj-22,WormBase,protein_coding,V,8461096,8462116,-
WBGene00001043,dnj-25,WormBase,protein_coding,V,20729948,20744385,-
WBGene00001053,dop-2,WormBase,protein_coding,V,9608562,9614942,+
WBGene00001054,dpf-1,WormBase,protein_coding,V,15471335,15476122,+
WBGene00001062,dpr-1,WormBase,protein_coding,V,13940139,13942182,-
WBGene00001073,dpy-11,WormBase,protein_coding,V,6511588,6515240,-
WBGene00001080,dpy-21,WormBase,protein_coding,V,17936332,17949184,-
WBGene00001088,dpy-30,WormBase,protein_coding,V,12191519,12192211,+
WBGene00001089,dre-1,WormBase,protein_coding,V,6533614,6546491,-
WBGene00001095,dars-2,WormBase,protein_coding,V,12048745,12052182,+
WBGene00001109,dsl-7,WormBase,protein_coding,V,12993180,12994822,+
WBGene00001110,duo-1,WormBase,protein_coding,V,11554635,11558127,+
WBGene00001137,eat-6,WormBase,protein_coding,V,13126414,13129995,-
WBGene00001150,ech-1.1,WormBase,protein_coding,V,15357696,15360738,-
WBGene00001152,ech-3,WormBase,protein_coding,V,8022218,8023308,+
WBGene00001161,efl-1,WormBase,protein_coding,V,16958657,16965675,-
WBGene00001170,egl-1,WormBase,protein_coding,V,14431310,14432359,-
WBGene00001171,egl-2,WormBase,protein_coding,V,1288841,1299332,-
WBGene00001172,egl-3,WormBase,protein_coding,V,10169197,10173753,-
WBGene00001177,egl-8,WormBase,protein_coding,V,20825,43697,+
WBGene00001178,egl-9,WormBase,protein_coding,V,10468411,10476952,+
WBGene00001179,egl-10,WormBase,protein_coding,V,12453955,12463008,-
WBGene00001210,egl-46,WormBase,protein_coding,V,6679317,6681573,-
WBGene00001211,egl-47,WormBase,protein_coding,V,9899587,9907644,+
WBGene00001233,eif-3.K,WormBase,protein_coding,V,12954002,12955229,+
WBGene00001248,elp-1,WormBase,protein_coding,V,20764955,20770161,-
WBGene00001258,emb-4,WormBase,protein_coding,V,18860287,18894974,-
WBGene00001303,emo-1,WormBase,protein_coding,V,10896658,10897143,-
WBGene00001310,end-1,WormBase,protein_coding,V,13985137,13987072,+
WBGene00001311,end-3,WormBase,protein_coding,V,14014701,14015850,+
WBGene00001345,fos-1,WormBase,protein_coding,V,6003601,6016087,+
WBGene00001374,exp-2,WormBase,protein_coding,V,6139836,6143548,+
WBGene00001387,far-3,WormBase,protein_coding,V,12996787,12997524,-
WBGene00001388,far-4,WormBase,protein_coding,V,12998427,12999659,-
WBGene00001389,far-5,WormBase,protein_coding,V,12995569,12996836,+
WBGene00001397,fat-5,WormBase,protein_coding,V,17725004,17726818,+
WBGene00001399,fat-7,WormBase,protein_coding,V,7151353,7153146,-
WBGene00001406,fce-2,WormBase,protein_coding,V,20425301,20431337,+
WBGene00001423,fib-1,WormBase,protein_coding,V,15000653,15002273,-
WBGene00001428,fkb-3,WormBase,protein_coding,V,7225223,7226320,+
WBGene00001429,fkb-4,WormBase,protein_coding,V,12785154,12787126,-
WBGene00001431,fkb-6,WormBase,protein_coding,V,20846113,20847727,+
WBGene00001449,flp-6,WormBase,protein_coding,V,9471975,9473796,+
WBGene00001464,flp-21,WormBase,protein_coding,V,7793367,7794025,+
WBGene00001466,flr-2,WormBase,protein_coding,V,11936505,11937794,-
WBGene00001475,fmi-1,WormBase,protein_coding,V,13019068,13033373,+
WBGene00001479,fmo-4,WormBase,protein_coding,V,13603276,13606701,-
WBGene00001480,fmo-5,WormBase,protein_coding,V,899310,903665,-
WBGene00001482,fog-2,WormBase,protein_coding,V,20199262,20200640,+
WBGene00001485,fre-1,WormBase,protein_coding,V,20075935,20087733,-
WBGene00001493,frm-7,WormBase,protein_coding,V,12302484,12306978,+
WBGene00001496,frm-10,WormBase,protein_coding,V,13463128,13467131,+
WBGene00001500,ftn-1,WormBase,protein_coding,V,7546468,7548012,-
WBGene00001506,fut-2,WormBase,protein_coding,V,6573983,6575797,-
WBGene00001508,fut-8,WormBase,protein_coding,V,5987003,5990252,-
WBGene00001513,gad-1,WormBase,protein_coding,V,6431331,6433496,-
WBGene00001519,gar-3,WormBase,protein_coding,V,14564752,14579719,-
WBGene00001526,gck-1,WormBase,protein_coding,V,8947799,8956294,+
WBGene00001533,gcy-6,WormBase,protein_coding,V,10308291,10314053,-
WBGene00001534,gcy-7,WormBase,protein_coding,V,8387356,8392324,+
WBGene00001539,gcy-13,WormBase,protein_coding,V,12363754,12369537,-
WBGene00001540,gcy-14,WormBase,protein_coding,V,14863168,14867992,-
WBGene00001545,gcy-20,WormBase,protein_coding,V,16248583,16253787,-
WBGene00001547,gcy-22,WormBase,protein_coding,V,20820366,20825028,-
WBGene00001552,gcy-32,WormBase,protein_coding,V,13912080,13915436,-
WBGene00001553,gcy-33,WormBase,protein_coding,V,11995868,12001965,-
WBGene00001554,gcy-34,WormBase,protein_coding,V,13383019,13385898,-
WBGene00001563,gei-6,WormBase,protein_coding,V,7226376,7230848,-
WBGene00001564,icl-1,WormBase,protein_coding,V,724207,728103,-
WBGene00001578,ges-1,WormBase,protein_coding,V,1427653,1432137,-
WBGene00001581,gfi-1,WormBase,protein_coding,V,6392541,6399921,-
WBGene00001591,glc-1,WormBase,protein_coding,V,16219541,16221948,+
WBGene00001593,glc-3,WormBase,protein_coding,V,5449287,5453715,-
WBGene00001616,glr-5,WormBase,protein_coding,V,8716495,8720893,+
WBGene00001629,gly-4,WormBase,protein_coding,V,19881374,19895350,-
WBGene00001632,gly-7,WormBase,protein_coding,V,1815852,1821323,-
WBGene00001645,gly-20,WormBase,protein_coding,V,11282572,11286039,+
WBGene00001646,gna-1,WormBase,protein_coding,V,10319535,10320158,-
WBGene00001663,gpa-1,WormBase,protein_coding,V,11174567,11177559,-
WBGene00001664,gpa-2,WormBase,protein_coding,V,8371014,8374027,+
WBGene00001665,gpa-3,WormBase,protein_coding,V,9356750,9359774,-
WBGene00001670,gpa-8,WormBase,protein_coding,V,12638852,12640470,-
WBGene00001671,gpa-9,WormBase,protein_coding,V,12646827,12649313,-
WBGene00001672,gpa-10,WormBase,protein_coding,V,6852568,6854803,-
WBGene00001675,gpa-13,WormBase,protein_coding,V,12752762,12754893,-
WBGene00001691,grd-2,WormBase,protein_coding,V,20609794,20613929,+
WBGene00001694,grd-5,WormBase,protein_coding,V,8619032,8619869,+
WBGene00001695,grd-6,WormBase,protein_coding,V,9221866,9224354,+
WBGene00001697,grd-8,WormBase,protein_coding,V,7842543,7844299,+
WBGene00001698,grd-9,WormBase,protein_coding,V,5895388,5898602,+
WBGene00001700,grd-11,WormBase,protein_coding,V,20356802,20365718,+
WBGene00001701,grd-12,WormBase,protein_coding,V,14978505,14980159,+
WBGene00001706,grd-17,WormBase,pseudogene,V,16990810,16991459,+
WBGene00001710,grl-1,WormBase,protein_coding,V,5530725,5533845,-
WBGene00001711,grl-2,WormBase,protein_coding,V,12944861,12946853,+
WBGene00001712,grl-3,WormBase,protein_coding,V,11411511,11412769,+
WBGene00001714,grl-5,WormBase,protein_coding,V,4412748,4414663,-
WBGene00001716,grl-7,WormBase,protein_coding,V,11344831,11347012,-
WBGene00001717,grl-8,WormBase,protein_coding,V,6731831,6733092,-
WBGene00001718,grl-9,WormBase,protein_coding,V,6730281,6731694,-
WBGene00001719,grl-10,WormBase,protein_coding,V,7774441,7775759,+
WBGene00001721,grl-12,WormBase,protein_coding,V,8635820,8637006,-
WBGene00001722,grl-13,WormBase,protein_coding,V,4362722,4364650,-
WBGene00001723,grl-14,WormBase,protein_coding,V,20825559,20827740,+
WBGene00001726,grl-17,WormBase,protein_coding,V,13562105,13563913,-
WBGene00001727,grl-18,WormBase,protein_coding,V,5485697,5488866,-
WBGene00001732,grl-23,WormBase,protein_coding,V,12575308,12576895,-
WBGene00001736,grl-27,WormBase,protein_coding,V,3575055,3575874,-
WBGene00001737,grl-28,WormBase,protein_coding,V,3551346,3551865,-
WBGene00001738,grl-29,WormBase,protein_coding,V,3554611,3555236,-
WBGene00001739,grl-30,WormBase,protein_coding,V,3556286,3556804,+
WBGene00001747,gsp-1,WormBase,protein_coding,V,10682422,10686537,+
WBGene00001758,gst-10,WormBase,protein_coding,V,2561690,2564701,+
WBGene00001769,gst-21,WormBase,protein_coding,V,1730759,1732000,-
WBGene00001770,gst-22,WormBase,protein_coding,V,16231032,16232317,-
WBGene00001771,gst-23,WormBase,protein_coding,V,3243287,3244495,+
WBGene00001781,gst-33,WormBase,protein_coding,V,3467453,3468545,-
WBGene00001785,gst-37,WormBase,protein_coding,V,1921621,1922381,+
WBGene00001786,gst-38,WormBase,protein_coding,V,15915216,15916079,-
WBGene00001789,gst-41,WormBase,protein_coding,V,7398390,7399302,-
WBGene00001792,gst-44,WormBase,protein_coding,V,16390891,16392406,+
WBGene00001808,gut-2,WormBase,protein_coding,V,13497690,13498819,+
WBGene00001813,haf-3,WormBase,protein_coding,V,15760426,15766172,-
WBGene00001817,haf-7,WormBase,protein_coding,V,14773258,14777697,+
WBGene00001829,hcp-1,WormBase,protein_coding,V,6594194,6599208,+
WBGene00001830,hcp-2,WormBase,protein_coding,V,9645746,9650297,+
WBGene00001834,hda-1,WormBase,protein_coding,V,14525389,14527411,+
WBGene00001842,her-1,WormBase,protein_coding,V,9697129,9701552,+
WBGene00001851,hif-1,WormBase,protein_coding,V,20780413,20785259,+
WBGene00001852,hil-1,WormBase,protein_coding,V,14949777,14952796,+
WBGene00001855,hil-4,WormBase,protein_coding,V,4754313,4755469,+
WBGene00001857,hil-6,WormBase,protein_coding,V,2030619,2031475,-
WBGene00001864,him-5,WormBase,protein_coding,V,14090719,14092435,+
WBGene00001874,him-17,WormBase,protein_coding,V,13176711,13180189,+
WBGene00001875,his-1,WormBase,protein_coding,V,16042486,16043013,+
WBGene00001876,his-2,WormBase,protein_coding,V,16041828,16042283,-
WBGene00001877,his-3,WormBase,protein_coding,V,16040771,16041288,+
WBGene00001878,his-4,WormBase,protein_coding,V,16040029,16040548,-
WBGene00001879,his-5,WormBase,protein_coding,V,8535177,8535662,+
WBGene00001880,his-6,WormBase,protein_coding,V,8534387,8534977,-
WBGene00001881,his-7,WormBase,protein_coding,V,8533379,8533869,+
WBGene00001882,his-8,WormBase,protein_coding,V,8532540,8533098,-
WBGene00001891,his-17,WormBase,protein_coding,V,8897458,8897992,-
WBGene00001892,his-18,WormBase,protein_coding,V,8898195,8898645,+
