id,gene_version,GeneSymbol,gene_source,gene_biotype,Chr,Start,End,Strand
ENSMUSG00000114212,2,Gm47985,havana,protein_coding,1,151058288,151059994,+
ENSMUSG00000114943,2,Gm8947,havana,protein_coding,1,151068127,151069805,+
ENSMUSG00000114694,2,Gm47995,havana,protein_coding,1,151074199,151075101,+
ENSMUSG00000114582,2,3110040M04Rik,havana,protein_coding,1,151079872,151080816,+
ENSMUSG00000114591,2,Gm47996,havana,protein_coding,1,151085882,151086823,+
ENSMUSG00000051285,18,Pcmtd1,ensembl_havana,protein_coding,1,7159144,7243852,+
ENSMUSG00000026312,18,Cdh7,ensembl_havana,protein_coding,1,109910161,110067887,+
ENSMUSG00000039748,12,Exo1,ensembl_havana,protein_coding,1,175708147,175741055,+
ENSMUSG00000104158,3,Gm38100,havana,protein_coding,1,175747895,175749791,+
ENSMUSG00000057363,13,Uxs1,ensembl_havana,protein_coding,1,43786126,43866960,-
ENSMUSG00000047216,9,Cdh19,ensembl_havana,protein_coding,1,110816056,110905314,-
ENSMUSG00000038702,7,Dsel,ensembl_havana,protein_coding,1,111786432,111792648,-
ENSMUSG00000033021,17,Gmppa,ensembl_havana,protein_coding,1,75412574,75419823,+
ENSMUSG00000055214,16,Pld5,ensembl_havana,protein_coding,1,175789872,176102878,-
ENSMUSG00000078184,2,Rbm8a2,ensembl_havana,protein_coding,1,175805343,175806680,-
ENSMUSG00000033007,16,Asic4,ensembl_havana,protein_coding,1,75427080,75450987,+
ENSMUSG00000070695,5,Cntnap5a,ensembl_havana,protein_coding,1,115612486,116515053,+
ENSMUSG00000025909,17,Sntg1,ensembl_havana,protein_coding,1,8431699,9370103,-
ENSMUSG00000094429,3,Gm19965,ensembl_havana,protein_coding,1,116730713,116751140,+
ENSMUSG00000100265,2,Gm28363,havana,protein_coding,1,117624861,117655171,+
ENSMUSG00000101303,2,B020011L13Rik,havana,protein_coding,1,117708863,117731089,+
ENSMUSG00000100305,2,Gm28360,havana,protein_coding,1,117757811,117782226,+
ENSMUSG00000101415,2,Gm28168,havana,protein_coding,1,117855745,117877718,+
ENSMUSG00000061024,9,Rrs1,ensembl_havana,protein_coding,1,9615633,9617680,+
ENSMUSG00000100617,2,Gm7145,havana,protein_coding,1,117893669,117914614,+
ENSMUSG00000102030,2,Gm29106,havana,protein_coding,1,118104272,118130037,+
ENSMUSG00000023150,15,Ivns1abp,ensembl_havana,protein_coding,1,151220228,151240173,+
ENSMUSG00000026374,15,Tsn,ensembl_havana,protein_coding,1,118222508,118239469,-
ENSMUSG00000026377,13,Nifk,ensembl_havana,protein_coding,1,118249569,118261552,+
ENSMUSG00000025911,15,Adhfe1,ensembl_havana,protein_coding,1,9618173,9650898,+
ENSMUSG00000052748,15,Swt1,ensembl_havana,protein_coding,1,151243450,151304206,-
ENSMUSG00000067879,4,Vxn,ensembl_havana,protein_coding,1,9671424,9697368,+
ENSMUSG00000057335,12,Cep170,ensembl_havana,protein_coding,1,176561219,176641633,-
ENSMUSG00000053286,12,Trmt1l,ensembl_havana,protein_coding,1,151304293,151333912,+
ENSMUSG00000026484,14,Rnf2,ensembl_havana,protein_coding,1,151333755,151376706,-
ENSMUSG00000025912,17,Mybl1,ensembl_havana,protein_coding,1,9737640,9770434,-
ENSMUSG00000045210,9,Vcpip1,ensembl_havana,protein_coding,1,9788847,9818607,-
ENSMUSG00000041763,15,Tpp2,ensembl_havana,protein_coding,1,43972807,44042160,+
ENSMUSG00000026504,18,Sdccag8,ensembl_havana,protein_coding,1,176642226,176848003,+
ENSMUSG00000047343,5,Mettl21c,ensembl_havana,protein_coding,1,44048568,44059194,-
ENSMUSG00000091844,3,Gm8251,ensembl_havana,protein_coding,1,44095032,44118906,-
ENSMUSG00000026483,14,Niban1,ensembl_havana,protein_coding,1,151446937,151597690,+
ENSMUSG00000019699,17,Akt3,ensembl_havana,protein_coding,1,176847639,177085769,-
ENSMUSG00000063659,12,Zbtb18,ensembl_havana,protein_coding,1,177269917,177278330,+
ENSMUSG00000026049,12,Tex30,ensembl_havana,protein_coding,1,44125773,44141601,-
ENSMUSG00000043019,13,Edem3,ensembl_havana,protein_coding,1,151631122,151697802,+
ENSMUSG00000015962,6,1700016C15Rik,ensembl_havana,protein_coding,1,177557380,177580890,+
ENSMUSG00000032666,17,1700025G04Rik,ensembl_havana,protein_coding,1,151728154,151965876,-
ENSMUSG00000015961,9,Adss,ensembl_havana,protein_coding,1,177590528,177624077,-
ENSMUSG00000102483,3,Catspere1,havana,protein_coding,1,177635997,177790244,+
ENSMUSG00000014980,15,Tsen15,ensembl_havana,protein_coding,1,152246486,152262439,-
ENSMUSG00000026235,15,Epha4,ensembl_havana,protein_coding,1,77343822,77491725,-
