id,gene_version,GeneSymbol,gene_source,gene_biotype,Chr,Start,End,Strand
ENSXETG00000024149,4,ebi3,ensembl,protein_coding,1,75190570,75196389,+
ENSXETG00000020472,4,pacrgl,ensembl,protein_coding,1,22667965,22678493,-
ENSXETG00000041181,1,atoh8,ensembl,protein_coding,1,14977578,15006333,+
ENSXETG00000001974,4,st3gal5,ensembl,protein_coding,1,15029746,15061294,-
ENSXETG00000041245,1,dnah5,ensembl,protein_coding,1,75286423,75298068,+
ENSXETG00000024147,4,b4galt1.1,ensembl,protein_coding,1,75345175,75401726,+
ENSXETG00000021607,4,grin3b,ensembl,protein_coding,1,81444579,81466965,-
ENSXETG00000030302,2,,ensembl,protein_coding,1,133270,152620,-
ENSXETG00000019216,4,XB5957215,ensembl,protein_coding,1,67209717,67239767,-
ENSXETG00000024146,3,b4galt1.2,ensembl,protein_coding,1,75411277,75458986,-
ENSXETG00000037036,1,,ensembl,protein_coding,1,329306,329470,-
ENSXETG00000025168,3,abce1,ensembl,protein_coding,1,49658291,49673795,+
ENSXETG00000019215,4,hpgds,ensembl,protein_coding,1,67341792,67359408,+
ENSXETG00000039227,1,,ensembl,protein_coding,1,188382414,188383651,+
ENSXETG00000034074,2,gpat4,ensembl,protein_coding,1,125408569,125410561,+
ENSXETG00000002418,4,,ensembl,protein_coding,1,587273,612979,+
ENSXETG00000001660,4,XB5815362,ensembl,protein_coding,1,116810671,116817851,-
ENSXETG00000039580,1,,ensembl,protein_coding,1,620366,621573,+
ENSXETG00000020945,4,ift81,ensembl,protein_coding,1,153932605,153982320,+
ENSXETG00000021612,3,wdr18,ensembl,protein_coding,1,81492592,81501586,-
ENSXETG00000024946,3,comt.2,ensembl,protein_coding,1,146407043,146424231,+
ENSXETG00000036832,1,,ensembl,protein_coding,1,125414244,125417215,+
ENSXETG00000033321,2,foxd1,ensembl,protein_coding,1,146413046,146435372,+
ENSXETG00000021613,4,arid3a,ensembl,protein_coding,1,81527582,81566275,-
ENSXETG00000001667,2,foxd4l1.1,ensembl,protein_coding,1,116834673,116836298,+
ENSXETG00000002403,4,mogs,ensembl,protein_coding,1,654078,655715,-
ENSXETG00000004188,4,isl1,ensembl,protein_coding,1,180486981,180498252,-
ENSXETG00000033700,2,dcun1d2,ensembl,protein_coding,1,125555285,125556406,+
ENSXETG00000001668,3,foxd4l1.2,ensembl,protein_coding,1,116850960,116851976,-
ENSXETG00000036218,1,,ensembl,protein_coding,1,180600506,180601546,-
ENSXETG00000017606,4,otud4,ensembl,protein_coding,1,49680320,49716428,-
ENSXETG00000021618,4,kiss1r,ensembl,protein_coding,1,81650665,81685858,-
ENSXETG00000024145,4,smu1,ensembl,protein_coding,1,75503046,75524326,+
ENSXETG00000017706,4,parp8,ensembl,protein_coding,1,180800210,180951024,-
ENSXETG00000017712,3,emb,ensembl,protein_coding,1,180985145,181003846,+
ENSXETG00000033450,2,golga1,ensembl,protein_coding,1,2179832,2195287,+
ENSXETG00000011128,4,oma1,ensembl,protein_coding,1,125587107,125642425,-
ENSXETG00000015510,4,rpl35,ensembl,protein_coding,1,178309794,178363513,+
ENSXETG00000037881,1,wdr38,ensembl,protein_coding,1,2189758,2190661,-
ENSXETG00000010855,4,cks2,ensembl,protein_coding,1,125658643,125662047,+
ENSXETG00000035710,1,r3hdm4,ensembl,protein_coding,1,81811957,81830884,+
ENSXETG00000024144,4,dnaja1,ensembl,protein_coding,1,75527907,75536736,-
ENSXETG00000017714,4,hcn1,ensembl,protein_coding,1,181078315,181296021,+
ENSXETG00000029955,2,secisbp2,ensembl,protein_coding,1,125658818,125678816,+
ENSXETG00000024143,3,aptx,ensembl,protein_coding,1,75536887,75558346,+
ENSXETG00000017716,4,mrps30,ensembl,protein_coding,1,181427493,181436979,+
ENSXETG00000025130,2,fgf10,ensembl,protein_coding,1,181591450,181664565,+
ENSXETG00000001952,4,polr1a,ensembl,protein_coding,1,15111465,15163254,-
ENSXETG00000001670,4,pgm5,ensembl,protein_coding,1,116872111,116946073,+
ENSXETG00000013501,4,sin3b,ensembl,protein_coding,1,99790191,99812350,+
ENSXETG00000038276,1,slc39a4,ensembl,protein_coding,1,181691456,181692379,-
ENSXETG00000019214,4,smarcad1,ensembl,protein_coding,1,67360720,67430522,-
ENSXETG00000022310,4,ssh1,ensembl,protein_coding,1,137981276,138028312,-
ENSXETG00000006316,4,arvcf,ensembl,protein_coding,1,146442881,146737657,-
ENSXETG00000017590,4,frem3,ensembl,protein_coding,1,49761512,49809842,+
ENSXETG00000004677,4,snx2,ensembl,protein_coding,1,160949908,160974672,-
ENSXETG00000035157,1,TMEM252,ensembl,protein_coding,1,116951094,116952196,-
ENSXETG00000040099,1,fbxo8,ensembl,protein_coding,1,3201002,4109192,+
ENSXETG00000021641,4,med16,ensembl,protein_coding,1,81839168,81850487,+
ENSXETG00000001676,4,trmt9b,ensembl,protein_coding,1,116974156,116976223,+
ENSXETG00000028100,3,mrpl35,ensembl,protein_coding,1,15163151,15169078,+
ENSXETG00000001949,3,krcc1,ensembl,protein_coding,1,15173633,15194492,-
ENSXETG00000023279,4,atoh1,ensembl,protein_coding,1,67554055,67554837,-
ENSXETG00000023280,4,grid2,ensembl,protein_coding,1,67586143,68038310,-
ENSXETG00000015503,4,il6st,ensembl,protein_coding,1,178386818,178424878,+
ENSXETG00000040085,1,nosip,ensembl,protein_coding,1,68190968,68192372,-
ENSXETG00000039926,1,,ensembl,protein_coding,1,68279641,68280674,-
ENSXETG00000022308,3,dao,ensembl,protein_coding,1,138030435,138061002,+
ENSXETG00000010843,4,sema4d,ensembl,protein_coding,1,125681672,125720893,-
ENSXETG00000013500,4,f2rl3,ensembl,protein_coding,1,99834300,99839465,+
ENSXETG00000038781,1,ccser1,ensembl,protein_coding,1,68466136,68895613,-
ENSXETG00000001940,4,smyd1,ensembl,protein_coding,1,15202622,15224976,+
ENSXETG00000032091,2,,ensembl,protein_coding,1,99879584,99900224,-
ENSXETG00000001678,4,pip5k1b,ensembl,protein_coding,1,116989418,117084800,+
ENSXETG00000023640,4,mmrn1,ensembl,protein_coding,1,68972674,69022874,-
ENSXETG00000021142,4,nedd4l,ensembl,protein_coding,1,188465585,188646322,-
ENSXETG00000038255,1,slc16a5,ensembl,protein_coding,1,3284547,3287980,-
ENSXETG00000006319,4,tango2,ensembl,protein_coding,1,146757560,146821400,+
ENSXETG00000023958,2,lrrtm1,ensembl,protein_coding,1,3694236,3695801,-
ENSXETG00000023641,3,snca,ensembl,protein_coding,1,69059829,69122151,+
ENSXETG00000033040,2,kctd2,ensembl,protein_coding,1,99914874,99934369,-
ENSXETG00000041370,1,mrps7,ensembl,protein_coding,1,69218369,69220546,+
ENSXETG00000021646,4,cfd,ensembl,protein_coding,1,81871603,81887461,+
ENSXETG00000023642,4,gprin3,ensembl,protein_coding,1,69244532,69302527,+
ENSXETG00000001938,4,fabp1,ensembl,protein_coding,1,15227567,15231880,-
ENSXETG00000016591,4,nnt,ensembl,protein_coding,1,181876605,181941362,-
ENSXETG00000027392,3,sncaip,ensembl,protein_coding,1,161062787,161183147,-
ENSXETG00000001936,4,thnsl2,ensembl,protein_coding,1,15239110,15254676,+
ENSXETG00000001682,4,nrbp1,ensembl,protein_coding,1,117115131,117140587,+
ENSXETG00000021647,4,prtn3,ensembl,protein_coding,1,81877349,81882845,-
ENSXETG00000001934,4,foxi4.2,ensembl,protein_coding,1,15337981,15339974,+
ENSXETG00000001690,4,suclg1,ensembl,protein_coding,1,4854173,4871331,-
ENSXETG00000001930,4,,ensembl,protein_coding,1,15469386,15528267,+
ENSXETG00000039659,1,ncf2,ensembl,protein_coding,1,161242604,161255083,-
ENSXETG00000040208,1,,ensembl,protein_coding,1,15492062,15493884,-
ENSXETG00000006320,3,dgcr8,ensembl,protein_coding,1,146832797,146860575,+
ENSXETG00000022304,4,svop,ensembl,protein_coding,1,138065771,138088299,-
ENSXETG00000004679,4,lox,ensembl,protein_coding,1,161282725,161308878,+
ENSXETG00000021653,4,plppr3,ensembl,protein_coding,1,81889456,81907708,+
ENSXETG00000033999,2,,ensembl,protein_coding,1,125757068,125806998,+
ENSXETG00000026537,3,gadd45g,ensembl,protein_coding,1,125855955,125858086,+
ENSXETG00000017566,4,smarca5,ensembl,protein_coding,1,49812296,49832517,-
ENSXETG00000004681,4,srfbp1,ensembl,protein_coding,1,161311742,161361023,-
ENSXETG00000000810,4,diras2,ensembl,protein_coding,1,126191519,126192118,-
ENSXETG00000039128,1,,ensembl,protein_coding,1,4874907,4875967,-
ENSXETG00000036407,1,,ensembl,protein_coding,1,161404284,161406360,+
ENSXETG00000037261,1,,ensembl,protein_coding,1,4883849,4884945,+
ENSXETG00000000809,3,,ensembl,protein_coding,1,126197682,126198153,+
ENSXETG00000040006,1,PRR16,ensembl,protein_coding,1,161539125,161661896,-
ENSXETG00000035972,1,,ensembl,protein_coding,1,4921723,4926766,+
ENSXETG00000041144,1,,ensembl,protein_coding,1,4978181,4979480,+
ENSXETG00000037589,1,,ensembl,protein_coding,1,4986716,4987727,+
ENSXETG00000033387,2,,ensembl,protein_coding,1,4998105,4999014,+
ENSXETG00000022301,4,usp30,ensembl,protein_coding,1,138090782,138103552,+
ENSXETG00000036253,1,piwil3,ensembl,protein_coding,1,5001108,5002179,-
ENSXETG00000000807,4,syk,ensembl,protein_coding,1,126245517,126279695,+
ENSXETG00000027348,3,,ensembl,protein_coding,1,5005720,5013302,+
ENSXETG00000036061,1,unk,ensembl,protein_coding,1,5029838,5030342,+
ENSXETG00000030832,2,ddx4,ensembl,protein_coding,1,178432970,178470331,-
ENSXETG00000038480,1,enoph1,ensembl,protein_coding,1,5031290,5032601,+
ENSXETG00000036179,1,ALKBH2,ensembl,protein_coding,1,138107221,138113019,-
ENSXETG00000000805,4,auh,ensembl,protein_coding,1,126394819,126532938,-
ENSXETG00000036039,1,aoc2,ensembl,protein_coding,1,5048600,5048896,+
ENSXETG00000022298,4,ung,ensembl,protein_coding,1,138112235,138123757,+
ENSXETG00000000804,4,nfil3,ensembl,protein_coding,1,126553138,126554954,-
ENSXETG00000036670,1,,ensembl,protein_coding,1,5050550,5054616,+
ENSXETG00000040598,1,,ensembl,protein_coding,1,5054057,5059026,+
