id,Gene_name,gene_biotype,Chr,Start,End,Strand,TGFb_m_av,TGFb_12h_av,TBFb_48h_av,12h_fold_change,48h_fold_change,12h_padj,48h_padj,TGFb_m_1_TPM,TGFb_m_2_TPM,TGFb_12h_1_TPM,TGFb_12h_2_TPM,TGFb_48h_1_TPM,TGFb_48h_2_TPM
ENSG00000276168,RN7SL1,misc_RNA,14,49586580,49586878,+,205123.165,198449.945,229377.81,0.967467253,1.1182443,0.015346601,0.156752712,207463.75,202782.58,196132.48,200767.41,231604.83,227150.79
ENSG00000274012,RN7SL2,misc_RNA,14,49862550,49862849,-,109034.215,104419.86,111173.4,0.957679752,1.019619392,0.006922314,0.432658564,110065.48,108002.95,102534.1,106305.62,112597.94,109748.86
ENSG00000283293,RN7SK,snRNA,6,52995621,52995948,+,57597.87,63895.31,77308.99,1.109334599,1.342219599,0.396012664,8.77E-16,57613.56,57582.18,64572.62,63218,76768.81,77849.17
ENSG00000277027,RMRP,ribozyme,9,35657754,35658017,-,20737.79,20465.63,19331.33,0.986876133,0.932178887,0.0637251,0.000120616,20359.18,21116.4,20249.08,20682.18,19056.86,19605.8
ENSG00000277209,RPPH1,ribozyme,14,20343075,20343407,-,14246.48,12454.475,11520.46,0.874214192,0.808653085,1.03E-06,8.53E-13,14626.39,13866.57,12304.03,12604.92,11582.59,11458.33
ENSG00000274266,SNORA73A,snoRNA,1,28507366,28507571,+,5589.075,5616.945,5018.225,1.004986514,0.897863242,0.525644587,0.004453099,5840.05,5338.1,5541.41,5692.48,4941.45,5095
ENSG00000269900,RMRP,lncRNA,9,35657751,35658018,-,5113.9,5793.45,4711.445,1.132882927,0.921301746,0.492035815,0.002822065,5223.47,5004.33,6277.24,5309.66,4736.38,4686.51
ENSG00000202354,RNY3,misc_RNA,7,148983755,148983856,+,4926.615,4148.08,4347.435,0.841973647,0.882438551,0.660113095,0.697935749,5684.41,4168.82,4107.8,4188.36,4243.32,4451.55
ENSG00000081051,AFP,protein_coding,4,73431138,73456174,+,4594.225,4161.905,3038.76,0.905899254,0.661430383,2.37E-07,4.17E-59,4491.51,4696.94,4162.34,4161.47,2984.46,3093.06
ENSG00000198804,MT-CO1,protein_coding,MT,5904,7445,+,4562.965,4139.925,5188.825,0.907288353,1.137160815,9.19E-05,0.093286845,4701.46,4424.47,4180.75,4099.1,5166.7,5210.95
ENSG00000156508,EEF1A1,protein_coding,6,73489308,73525587,-,4473.99,4036.03,3150.275,0.90210975,0.704130988,1.03E-07,2.68E-46,4368.75,4579.23,4033.67,4038.39,3131.44,3169.11
ENSG00000239039,SNORD13,snoRNA,8,33513475,33513578,+,3954.045,3539.05,3996.95,0.895045453,1.010850913,0.767177026,0.93132465,4241.05,3667.04,3142.27,3935.83,3984.61,4009.29
ENSG00000198712,MT-CO2,protein_coding,MT,7586,8269,+,3864.42,3871.025,4225.025,1.001709183,1.093314133,0.391050964,0.61681719,4047.88,3680.96,4008.77,3733.28,4286.66,4163.39
ENSG00000198938,MT-CO3,protein_coding,MT,9207,9990,+,3824.04,3649.53,3501.505,0.954365017,0.915655955,0.046569257,0.002285072,4023,3625.08,3693.52,3605.54,3533.77,3469.24
ENSG00000200320,SNORA63,snoRNA,3,186787300,186787431,+,3449.515,3274.405,3407.145,0.949236342,0.987717114,0.609489653,0.741513832,3682.14,3216.89,3308.53,3240.28,3454.54,3359.75
ENSG00000198899,MT-ATP6,protein_coding,MT,8527,9207,+,3446.9,3666,3663.545,1.063564362,1.062852128,0.990782335,0.964003492,3674.86,3218.94,3773.15,3558.85,3670.87,3656.22
ENSG00000229117,RPL41,protein_coding,12,56116590,56117967,+,3366.27,3321.775,2344.165,0.986782106,0.696368681,0.09524641,3.28E-34,3321.34,3411.2,3364.03,3279.52,2315.52,2372.81
