id,GeneSymbol,gene_source,gene_biotype,Chr,Start,End,Strand
YDL246C,SOR2,sgd,protein_coding,IV,8683,9756,-
YDL243C,AAD4,sgd,protein_coding,IV,17577,18566,-
YDR387C,CIN10,sgd,protein_coding,IV,1248154,1249821,-
YDL094C,,sgd,protein_coding,IV,289572,290081,-
YDR438W,THI74,sgd,protein_coding,IV,1338274,1339386,+
YDR523C,SPS1,sgd,protein_coding,IV,1485566,1487038,-
YDR542W,PAU10,sgd,protein_coding,IV,1523249,1523611,+
YDR492W,IZH1,sgd,protein_coding,IV,1434924,1435874,+
YDR018C,,sgd,protein_coding,IV,482670,483860,-
YDL189W,RBS1,sgd,protein_coding,IV,122216,123589,+
YDR508C,GNP1,sgd,protein_coding,IV,1466453,1468444,-
YDR462W,MRPL28,sgd,protein_coding,IV,1386073,1386516,+
YDR175C,RSM24,sgd,protein_coding,IV,813193,814152,-
YDR186C,SND1,sgd,protein_coding,IV,832859,835492,-
YDR150W,NUM1,sgd,protein_coding,IV,755628,763874,+
YDR243C,PRP28,sgd,protein_coding,IV,948518,950284,-
YDL182W,LYS20,sgd,protein_coding,IV,133437,134723,+
YDR362C,TFC6,sgd,protein_coding,IV,1196679,1198697,-
YDR232W,HEM1,sgd,protein_coding,IV,927452,929098,+
YDR158W,HOM2,sgd,protein_coding,IV,770357,771454,+
YDR439W,LRS4,sgd,protein_coding,IV,1339676,1340719,+
YDL206W,,sgd,protein_coding,IV,90176,92464,+
YDR125C,ECM18,sgd,protein_coding,IV,701397,702758,-
YDR338C,,sgd,protein_coding,IV,1147379,1149466,-
YDR526C,,sgd,protein_coding,IV,1491075,1491545,-
YDR533C,HSP31,sgd,protein_coding,IV,1501447,1502160,-
YDR272W,GLO2,sgd,protein_coding,IV,1009010,1009834,+
YDR197W,CBS2,sgd,protein_coding,IV,851228,852397,+
YDR512C,EMI1,sgd,protein_coding,IV,1470500,1471063,-
YDR489W,SLD5,sgd,protein_coding,IV,1431012,1431896,+
YDR299W,BFR2,sgd,protein_coding,IV,1059627,1061231,+
YDL015C,TSC13,sgd,protein_coding,IV,426002,426934,-
YDR304C,CPR5,sgd,protein_coding,IV,1071880,1072557,-
YDR271C,,sgd,protein_coding,IV,1008395,1008766,-
YDL181W,INH1,sgd,protein_coding,IV,135179,135436,+
