id,GeneSymbol,gene_source,gene_biotype,Chr,Start,End,Strand
ENSDARG00000103202,CR383668.1,havana,lincRNA,4,30402837,30403763,+
ENSDARG00000009657,fgfr1op2,ensembl_havana,protein_coding,4,1722899,1730920,+
ENSDARG00000096472,AL845295.2,havana,processed_transcript,4,40758511,40759309,+
ENSDARG00000096156,si:dkey-21h14.12,havana,protein_coding,4,11099041,11106856,-
ENSDARG00000076160,si:dkey-285e18.2,havana,protein_coding,4,40835393,40839221,+
ENSDARG00000117163,znf1114,havana,protein_coding,4,30409750,30422325,-
ENSDARG00000096187,si:dkey-21h14.10,havana,protein_coding,4,11112580,11122638,-
ENSDARG00000076014,ERC1,ensembl_havana,protein_coding,4,8213063,8515824,+
ENSDARG00000098876,si:dkey-199m13.5,havana,protein_coding,4,30428468,30440116,-
ENSDARG00000031930,erc1b,havana,protein_coding,4,8376362,8515824,+
ENSDARG00000096435,AL845295.1,havana,processed_transcript,4,40839314,40839875,+
ENSDARG00000103471,si:dkey-199m13.4,ensembl_havana,protein_coding,4,30454496,30460765,+
ENSDARG00000093665,si:dkey-285e18.5,havana,protein_coding,4,40846483,40854534,-
ENSDARG00000098144,si:dkey-285e18.6,havana,protein_coding,4,40858450,40861846,+
ENSDARG00000093658,tm7sf3,ensembl_havana,protein_coding,4,1732825,1757460,-
ENSDARG00000095324,galnt8b.2,ensembl_havana,protein_coding,4,5215950,5223170,+
ENSDARG00000098510,zgc:174650,ensembl_havana,protein_coding,4,40880433,40883162,-
ENSDARG00000021336,pax4,ensembl_havana,protein_coding,4,19700308,19704628,+
ENSDARG00000094646,dyrk2,ensembl_havana,protein_coding,4,13449775,13462784,+
ENSDARG00000021595,lhfpl3,ensembl_havana,protein_coding,4,22365061,22419743,+
ENSDARG00000096039,BX784029.1,havana,processed_transcript,4,11124613,11125650,-
ENSDARG00000096153,si:dkey-21h14.9,havana,protein_coding,4,11124614,11132617,-
ENSDARG00000095200,si:ch211-197e7.1,ensembl_havana,protein_coding,4,49765093,49808690,-
ENSDARG00000096463,si:dkeyp-82h4.1,havana,protein_coding,4,40971399,40972393,-
ENSDARG00000102062,si:dkeyp-82h4.3,ensembl_havana,protein_coding,4,41057692,41196398,-
ENSDARG00000090116,znf1136,ensembl_havana,protein_coding,4,40953320,41014777,+
ENSDARG00000102464,wnt5b,ensembl_havana,protein_coding,4,8532580,8663117,+
ENSDARG00000095149,znf1062,ensembl_havana,protein_coding,4,41157276,41166287,+
ENSDARG00000092714,si:ch211-266a5.12,ensembl_havana,protein_coding,4,13499264,13502549,-
ENSDARG00000112103,si:dkey-16p19.1,ensembl_havana,protein_coding,4,41082518,41088690,+
ENSDARG00000096462,BX571664.1,havana,antisense,4,40970545,40971360,+
ENSDARG00000045801,fbxl14b,ensembl_havana,protein_coding,4,8609517,8611841,-
ENSDARG00000096855,BX649324.2,havana,antisense,4,8634704,8638629,-
ENSDARG00000104074,znf1052,havana,protein_coding,4,30521650,30528239,-
ENSDARG00000097754,CR749763.5,havana,lincRNA,4,16001238,16004425,+
ENSDARG00000095103,CR749763.4,havana,processed_transcript,4,16003900,16008167,-
ENSDARG00000015623,ada2b,ensembl_havana,protein_coding,4,5225552,5240128,-
ENSDARG00000101202,CU302413.1,havana,processed_pseudogene,4,30645966,30646791,+
ENSDARG00000102559,si:dkey-16p19.5,ensembl_havana,protein_coding,4,30707282,30712588,-
ENSDARG00000030694,atp6v1e1b,ensembl_havana,protein_coding,4,5240126,5247335,-
ENSDARG00000093168,CR749763.2,havana,processed_transcript,4,16013301,16019130,-
ENSDARG00000093983,CR749763.3,havana,processed_transcript,4,16019215,16022657,+
ENSDARG00000030598,nampta,ensembl_havana,protein_coding,4,3358383,3385452,+
