id,GeneSymbol,gene_source,gene_biotype,Chr,Start,End,Strand
FBgn0250732,gfzf,FlyBase,protein_coding,3R,7145880,7150968,-
FBti0060344,,FlyBase,transposable_element,3R,24185268,24185356,+
FBgn0286036,sisRNA:CR46358,FlyBase,ncRNA,3R,4639789,4640004,-
FBgn0037409,Osi24,FlyBase,protein_coding,3R,6198811,6207678,+
FBgn0027948,msps,FlyBase,protein_coding,3R,16050801,16060675,+
FBgn0038675,CG6013,FlyBase,protein_coding,3R,19031503,19032409,+
FBgn0264900,lncRNA:CR44091,FlyBase,ncRNA,3R,31680596,31681019,-
FBgn0000500,Dsk,FlyBase,protein_coding,3R,4189692,4190260,-
FBgn0261504,7SLRNA:CR42652,FlyBase,ncRNA,3R,6820131,6820429,-
FBgn0037610,CG8043,FlyBase,protein_coding,3R,8676915,8678233,+
FBgn0053095,CG33095,FlyBase,protein_coding,3R,25097672,25102146,+
FBgn0038070,CG6753,FlyBase,protein_coding,3R,12640163,12642482,-
FBgn0267571,lncRNA:CR45911,FlyBase,ncRNA,3R,15417320,15420710,-
FBgn0261859,CG42788,FlyBase,protein_coding,3R,15095957,15131926,-
FBgn0262389,mir-1017,FlyBase,pre_miRNA,3R,24488612,24488682,+
FBgn0037363,Atg17,FlyBase,protein_coding,3R,5669713,5679930,+
FBgn0039552,CG12426,FlyBase,protein_coding,3R,27871501,27872390,-
FBgn0267797,lncRNA:CR46122,FlyBase,ncRNA,3R,1865108,1866008,-
FBgn0039732,CG15525,FlyBase,protein_coding,3R,29996961,29997676,-
FBgn0038224,ATPsynE,FlyBase,protein_coding,3R,14326947,14327735,+
FBgn0264776,CG44014,FlyBase,protein_coding,3R,15507940,15508886,-
FBgn0038525,CG14329,FlyBase,protein_coding,3R,17609359,17610533,+
FBgn0262397,mir-2c,FlyBase,pre_miRNA,3R,15417744,15417845,-
FBti0019351,,FlyBase,transposable_element,3R,10255433,10257395,-
FBti0019410,,FlyBase,transposable_element,3R,20506641,20507386,+
FBgn0262899,CG43254,FlyBase,protein_coding,3R,7738965,7739563,-
FBgn0261436,DhpD,FlyBase,protein_coding,3R,4227387,4229238,-
FBti0063117,,FlyBase,transposable_element,3R,4904572,4904723,-
FBgn0262378,mir-317,FlyBase,pre_miRNA,3R,10091126,10091217,+
FBgn0038814,CG15923,FlyBase,protein_coding,3R,20611251,20616901,-
FBgn0286871,lncRNA:CR46393,FlyBase,ncRNA,3R,19212154,19212727,+
FBgn0267809,asRNA:CR46134,FlyBase,ncRNA,3R,5662901,5665032,-
FBgn0038279,Sdr,FlyBase,protein_coding,3R,14918628,14923083,+
FBgn0037625,CG11768,FlyBase,protein_coding,3R,8749206,8768200,-
FBgn0053093,CG33093,FlyBase,protein_coding,3R,22530694,22531922,-
FBti0062189,,FlyBase,transposable_element,3R,32078569,32078658,+
FBti0019436,,FlyBase,transposable_element,3R,26510557,26519559,+
FBgn0051579,tRNA:Ala-AGC-2-7,FlyBase,tRNA,3R,17646368,17646440,+
FBgn0027574,CG5815,FlyBase,protein_coding,3R,27112566,27115126,+
FBgn0260746,Ect3,FlyBase,protein_coding,3R,11999278,12003516,+
FBgn0037930,CG14715,FlyBase,protein_coding,3R,11674221,11674923,+
FBgn0038709,CG15025,FlyBase,protein_coding,3R,19489570,19491115,-
FBgn0027095,Manf,FlyBase,protein_coding,3R,16349404,16350801,+
FBtr0309605_df_nrg,,FlyBase,miRNA,3R,15836287,15836308,-
FBgn0051450,mRpS18A,FlyBase,protein_coding,3R,8561917,8562593,-
FBgn0038774,CG5023,FlyBase,protein_coding,3R,20169435,20174872,+
FBgn0037794,CG6254,FlyBase,protein_coding,3R,10159144,10161331,-
FBgn0039229,Saf-B,FlyBase,protein_coding,3R,24817464,24822350,+
FBgn0065064,snoRNA:Psi28S-291,FlyBase,snoRNA,3R,11223571,11223790,+
