id,GeneSymbol,gene_source,gene_biotype,Chr,Start,End,Strand
AT1G30814,,araport11,protein_coding,1,10942648,10944727,-
AT1G78930,,araport11,protein_coding,1,29677904,29680757,-
AT1G71695,PER12,araport11,protein_coding,1,26964087,26966688,+
AT1G58983,RPS2B,araport11,protein_coding,1,21805932,21807496,-
AT1G12980,ESR1,araport11,protein_coding,1,4429718,4430965,+
AT1G45223,,araport11,protein_coding,1,17141192,17141771,+
AT1G56250,VBF,araport11,protein_coding,1,21061522,21063047,-
AT1G66852,,araport11,protein_coding,1,24938500,24938832,-
AT1G69810,WRKY36,araport11,protein_coding,1,26276948,26279255,-
AT1G72450,TIFY11B,araport11,protein_coding,1,27273968,27276562,-
AT1G76280,,araport11,protein_coding,1,28617577,28622777,-
AT1G65630,DEGP3,araport11,protein_coding,1,24406461,24409068,-
AT1G71390,AtRLP11,araport11,protein_coding,1,26906401,26908975,+
AT1G56233,,araport11,protein_coding,1,21050540,21051017,-
AT1G15210,ABCG35,araport11,protein_coding,1,5231345,5236886,-
AT1G15250,RPL37A,araport11,protein_coding,1,5248664,5249676,-
AT1G79700,,araport11,protein_coding,1,29990336,29993766,-
AT1G62895,,araport11,protein_coding,1,23295989,23296858,+
AT1G73360,HDG11,araport11,protein_coding,1,27578421,27582685,-
AT1G16360,,araport11,protein_coding,1,5593270,5595814,-
AT1G10225,,araport11,protein_coding,1,3354243,3354856,+
AT1G26670,VTI12,araport11,protein_coding,1,9215770,9218010,+
AT1G34855,,araport11,protein_coding,1,12801427,12802067,+
AT1G52200,PCR8,araport11,protein_coding,1,19441636,19443631,-
AT1G57800,VIM5,araport11,protein_coding,1,21408623,21412283,-
AT1G69460,,araport11,protein_coding,1,26111688,26113256,-
AT1G04310,ERS2,araport11,protein_coding,1,1154740,1157813,-
AT1G08080,ACA7,araport11,protein_coding,1,2516991,2518611,-
AT1G75550,,araport11,protein_coding,1,28368447,28370061,-
AT1G71890,SUC5,araport11,protein_coding,1,27058381,27060786,+
AT1G05430,,araport11,protein_coding,1,1594053,1595923,-
AT1G80870,,araport11,protein_coding,1,30391899,30394398,+
AT1G75310,AUL1,araport11,protein_coding,1,28260801,28266323,+
AT1G02010,SEC1A,araport11,protein_coding,1,347613,352545,+
AT1G47900,FPP6,araport11,protein_coding,1,17647144,17651791,-
AT1G14315,,araport11,protein_coding,1,4886768,4887933,-
AT1G26760,ATXR1,araport11,protein_coding,1,9248152,9249943,-
AT1G05250,PER2,araport11,protein_coding,1,1525601,1527360,-
AT1G67260,TCP1,araport11,protein_coding,1,25167418,25169707,-
AT1G24575,,araport11,protein_coding,1,8710847,8711578,-
AT1G12790,PTD,araport11,protein_coding,1,4358895,4361371,-
AT1G04850,,araport11,protein_coding,1,1365107,1368940,-
AT1G31760,,araport11,protein_coding,1,11372394,11374301,-
AT1G33250,,araport11,protein_coding,1,12057198,12059792,-
AT1G74000,SSL11,araport11,protein_coding,1,27829051,27831536,-
AT1G55580,SCL18,araport11,protein_coding,1,20763844,20765823,+
AT1G53903,FLZ17,araport11,protein_coding,1,20132071,20133045,+
AT1G19715,JAL3,araport11,protein_coding,1,6816702,6819542,-
AT1G69430,,araport11,protein_coding,1,26097729,26099388,+
AT1G53340,,araport11,protein_coding,1,19898849,19901091,-
AT1G29890,,araport11,protein_coding,1,10463029,10467452,+
AT1G80290,,araport11,protein_coding,1,30187920,30189823,+
AT1G56540,,araport11,protein_coding,1,21181585,21185495,+
AT1G48650,,araport11,protein_coding,1,17989131,17995339,-
AT1G22670,RMR3,araport11,protein_coding,1,8021835,8023516,-
AT1G07030,,araport11,protein_coding,1,2158413,2160818,-
AT1G69860,NPF2.14,araport11,protein_coding,1,26309628,26312174,+
AT1G10120,BHLH74,araport11,protein_coding,1,3304039,3306956,-
AT1G43650,,araport11,protein_coding,1,16443582,16446918,-
AT1G09960,SUC4,araport11,protein_coding,1,3243986,3247216,+
AT1G51990,,araport11,protein_coding,1,19330949,19332667,+
AT1G53625,,araport11,protein_coding,1,20014379,20015038,-
AT1G63360,,araport11,protein_coding,1,23498484,23502321,-
AT1G33330,,araport11,protein_coding,1,12084914,12086883,+
AT1G74929,,araport11,protein_coding,1,28143997,28144098,-
AT1G63430,,araport11,protein_coding,1,23522449,23526832,+
AT1G80720,,araport11,protein_coding,1,30336097,30337716,+
AT1G69770,CMT3,araport11,protein_coding,1,26248118,26253687,-
AT1G08460,HDA8,araport11,protein_coding,1,2672198,2674721,+
AT1G78710,TBL42,araport11,protein_coding,1,29601253,29604610,+
AT1G08610,,araport11,protein_coding,1,2733596,2735819,-
AT1G17540,,araport11,protein_coding,1,6029138,6032860,-
AT1G27380,RIC2,araport11,protein_coding,1,9508680,9510269,-
AT1G58643,,araport11,protein_coding,1,21766847,21769657,+
AT1G48953,,araport11,protein_coding,1,18110814,18111463,-
AT1G51440,,araport11,protein_coding,1,19070798,19072753,+
AT1G18871,,araport11,protein_coding,1,6519309,6519485,-
AT1G25210,LPXC5,araport11,protein_coding,1,8833245,8835235,+
AT1G21610,,araport11,protein_coding,1,7573830,7578963,+
AT1G79710,,araport11,protein_coding,1,29994962,29997201,+
AT1G80840,WRKY40,araport11,protein_coding,1,30383561,30385499,+
AT1G71300,,araport11,protein_coding,1,26874064,26878319,+
AT1G49490,,araport11,protein_coding,1,18317259,18320210,-
AT1G23645,,araport11,protein_coding,1,8369097,8370340,-
AT1G09795,HISN1B,araport11,protein_coding,1,3173534,3176910,+
AT1G48690,,araport11,protein_coding,1,18008813,18010086,-
AT1G49570,PER10,araport11,protein_coding,1,18346958,18349049,+
AT1G68470,GT17,araport11,protein_coding,1,25676361,25678468,-
AT1G75580,,araport11,protein_coding,1,28377377,28378310,+
AT1G26400,FOX3,araport11,protein_coding,1,9133291,9134874,-
AT1G72980,LBD7,araport11,protein_coding,1,27456043,27456949,-
AT1G59970,5MMP,araport11,protein_coding,1,22073352,22074931,+
AT1G11520,,araport11,protein_coding,1,3873029,3873619,+
AT1G30640,,araport11,protein_coding,1,10860619,10865074,+
AT1G26440,UPS5,araport11,protein_coding,1,9143937,9146106,-
AT1G51320,FBX11,araport11,protein_coding,1,19025642,19026769,+
AT1G22070,TGA3,araport11,protein_coding,1,7789133,7792139,+
AT1G26700,MLO14,araport11,protein_coding,1,9227378,9232437,+
AT1G73603,LCR64,araport11,protein_coding,1,27674288,27674976,+
AT1G55650,HMGB11,araport11,protein_coding,1,20796340,20798594,+
AT1G78180,,araport11,protein_coding,1,29416837,29418561,+
AT1G55928,,araport11,protein_coding,1,20917190,20918462,+
AT1G29880,,araport11,protein_coding,1,10459457,10462967,-
AT1G53645,,araport11,protein_coding,1,20026016,20028756,-
AT1G06240,,araport11,protein_coding,1,1911095,1913295,+
AT1G72330,ALAAT2,araport11,protein_coding,1,27233418,27236822,+
AT1G20840,MSSP1,araport11,protein_coding,1,7244939,7248494,-
AT1G45050,UBC15,araport11,protein_coding,1,17031211,17033269,+
AT1G52500,FPG1,araport11,protein_coding,1,19559880,19563113,+
AT1G10430,PP2A2,araport11,protein_coding,1,3428478,3430924,-
AT1G05670,,araport11,protein_coding,1,1697541,1701065,-
AT1G64110,,araport11,protein_coding,1,23796698,23801799,-
AT1G65220,,araport11,protein_coding,1,24225951,24228970,+
AT1G13635,,araport11,protein_coding,1,4674152,4676484,+
AT1G54950,,araport11,protein_coding,1,20488088,20491291,-
AT1G55730,CAX5,araport11,protein_coding,1,20831031,20834628,-
AT1G07310,,araport11,protein_coding,1,2247112,2248961,-
AT1G77230,,araport11,protein_coding,1,29016120,29019768,+
AT1G52400,BGLU18,araport11,protein_coding,1,19514989,19518411,+
AT1G16430,MED22A,araport11,protein_coding,1,5614593,5615660,+
AT1G27752,,araport11,protein_coding,1,9662021,9667550,+
AT1G14880,PCR1,araport11,protein_coding,1,5132506,5133860,-
AT1G11190,ENDO1,araport11,protein_coding,1,3750066,3752780,-
AT1G43100,,araport11,protein_coding,1,16220519,16222473,-
AT1G26650,,araport11,protein_coding,1,9210051,9211588,+
AT1G54420,,araport11,protein_coding,1,20311619,20312418,+
AT1G34640,,araport11,protein_coding,1,12687552,12688543,-
AT1G50310,STP9,araport11,protein_coding,1,18635955,18638449,+
AT1G49430,LACS2,araport11,protein_coding,1,18290942,18295905,+
AT1G74240,,araport11,protein_coding,1,27917249,27920192,+
AT1G01760,,araport11,protein_coding,1,276266,278599,-
AT1G61160,,araport11,protein_coding,1,22544868,22546230,-
AT1G47480,CXE2,araport11,protein_coding,1,17417492,17419442,+
AT1G65820,,araport11,protein_coding,1,24485046,24486954,+
AT1G22900,DIR11,araport11,protein_coding,1,8103612,8104605,-
AT1G76820,,araport11,nontranslating_CDS,1,28837573,28842566,+
AT1G52080,AR791,araport11,protein_coding,1,19369089,19372121,+
AT1G35180,,araport11,protein_coding,1,12877107,12878835,-
AT1G30070,,araport11,protein_coding,1,10546511,10548236,-
AT1G35210,,araport11,protein_coding,1,12896582,12897675,-
AT1G10410,,araport11,protein_coding,1,3416430,3419691,-
AT1G73740,,araport11,protein_coding,1,27734024,27736363,+
AT1G53350,RPP8L2,araport11,protein_coding,1,19903777,19907068,+
AT1G34110,,araport11,protein_coding,1,12417012,12421792,-
AT1G17240,AtRLP2,araport11,protein_coding,1,5896385,5898931,-
AT1G61730,,araport11,protein_coding,1,22793170,22794714,-
AT1G29260,PEX7,araport11,protein_coding,1,10224815,10226322,+
AT1G33890,IAN3,araport11,protein_coding,1,12308136,12309914,-
AT1G08040,,araport11,protein_coding,1,2495309,2498764,-
AT1G63522,,araport11,protein_coding,1,23562201,23562659,-
AT1G08810,MYB60,araport11,protein_coding,1,2819065,2820478,-
AT1G09210,CRT2,araport11,protein_coding,1,2972638,2977002,-
AT1G70080,TPS06,araport11,protein_coding,1,26394492,26397603,-
AT1G10522,PRIN2,araport11,protein_coding,1,3469512,3471488,+
AT1G04570,,araport11,protein_coding,1,1246601,1248876,-
AT1G01830,,araport11,protein_coding,1,298451,302310,-
AT1G12340,,araport11,protein_coding,1,4197396,4198310,+
AT1G67590,,araport11,protein_coding,1,25333058,25335025,-
AT1G69080,,araport11,protein_coding,1,25971915,25973505,-
AT1G31400,,araport11,protein_coding,1,11245225,11246561,-
AT1G74385,,araport11,protein_coding,1,27960725,27960970,-
AT1G73300,SCPL2,araport11,protein_coding,1,27559483,27562636,-
AT1G05760,RTM1,araport11,protein_coding,1,1723734,1724534,-
AT1G30530,UGT78D1,araport11,protein_coding,1,10814612,10816615,+
AT1G12480,SLAC1,araport11,protein_coding,1,4257268,4259300,-
AT1G76850,SEC5A,araport11,protein_coding,1,28847871,28854499,+
AT1G73570,,araport11,protein_coding,1,27650992,27654025,+
AT1G44130,,araport11,protein_coding,1,16787508,16789436,-
AT1G67340,,araport11,protein_coding,1,25230239,25231943,+
AT1G80315,,araport11,protein_coding,1,30194698,30195732,-
AT1G43666,,araport11,protein_coding,1,16461072,16461734,-
AT1G08630,THA1,araport11,protein_coding,1,2743761,2747967,-
AT1G66150,TMK1,araport11,protein_coding,1,24631338,24634781,+
AT1G04640,LIP2,araport11,protein_coding,1,1292023,1293398,+
AT1G56500,SOQ1,araport11,protein_coding,1,21159736,21167341,+
AT1G12615,,araport11,protein_coding,1,4294055,4294540,-
AT1G77120,ADH1,araport11,protein_coding,1,28975255,28977417,+
AT1G50590,,araport11,protein_coding,1,18732378,18734199,-
AT1G17147,VQ1,araport11,protein_coding,1,5863109,5864059,-
AT1G44740,,araport11,protein_coding,1,16887217,16889155,+
AT1G08005,,araport11,protein_coding,1,2485281,2485724,+
AT1G24380,,araport11,protein_coding,1,8646056,8647674,+
AT1G60787,,araport11,protein_coding,1,22378102,22379981,-
AT1G26796,,araport11,protein_coding,1,9278953,9279482,+
AT1G68500,,araport11,protein_coding,1,25701770,25702778,+
AT1G15500,AATP2,araport11,protein_coding,1,5326290,5328875,+
AT1G77760,NIA1,araport11,protein_coding,1,29235721,29239484,-
AT1G24062,,araport11,protein_coding,1,8510401,8510967,-
AT1G53510,MPK18,araport11,protein_coding,1,19970334,19974393,-
AT1G51410,,araport11,protein_coding,1,19059720,19061714,+
AT1G50020,,araport11,protein_coding,1,18519946,18521781,-
AT1G22370,UGT85A5,araport11,protein_coding,1,7897915,7900335,-
AT1G53265,,araport11,protein_coding,1,19861098,19861475,-
AT1G17270,OFUT5,araport11,protein_coding,1,5909085,5911708,-
AT1G74350,,araport11,protein_coding,1,27949022,27951413,-
AT1G75230,,araport11,protein_coding,1,28234086,28237290,+
AT1G29150,RPN6,araport11,protein_coding,1,10180302,10182808,+
AT1G17140,ICR1,araport11,protein_coding,1,5856573,5858550,-
