id,GeneSymbol,gene_source,gene_biotype,Chr,Start,End,Strand
NCU10129,,ena,protein_coding,I,1151,2878,-
NCU09901,,ena,protein_coding,I,3178,6443,+
NCU09903,,ena,protein_coding,I,9177,13334,+
NCU11134,,ena,protein_coding,I,15930,16647,+
NCU09904,,ena,protein_coding,I,17441,19615,+
NCU14001,,ena,ncRNA,I,34691,35418,+
NCU09906,,ena,protein_coding,I,34981,39245,+
NCU09907,,ena,protein_coding,I,40950,42632,-
NCU09908,,ena,protein_coding,I,43709,44551,-
NCU09909,,ena,protein_coding,I,45332,48154,-
NCU09910,,ena,protein_coding,I,49237,52949,-
NCU09911,,ena,protein_coding,I,53114,54518,+
NCU09912,,ena,protein_coding,I,54882,57945,+
NCU09913,,ena,protein_coding,I,59146,61150,+
NCU09914,,ena,protein_coding,I,62094,62950,+
NCU10501,,ena,protein_coding,I,91324,92593,+
NCU08049,,ena,protein_coding,I,93474,98954,-
NCU08050,,ena,protein_coding,I,99983,102134,+
NCU08051,,ena,protein_coding,I,102314,105940,-
NCU16303,,ena,protein_coding,I,102849,103781,+
NCU08052,,ena,protein_coding,I,109911,112060,+
NCU08053,,ena,protein_coding,I,112097,113288,-
NCU08054,gh3-2,ena,protein_coding,I,113613,117165,+
NCU08055,,ena,protein_coding,I,117750,119387,+
NCU08056,,ena,protein_coding,I,122928,128314,+
NCU08057,,ena,protein_coding,I,128668,129912,+
NCU08058,,ena,protein_coding,I,130428,132364,-
NCU08059,,ena,protein_coding,I,133836,134464,+
NCU08060,,ena,protein_coding,I,134927,137208,-
NCU08062,,ena,protein_coding,I,137593,139980,+
NCU08063,,ena,protein_coding,I,139966,143960,-
NCU08064,,ena,protein_coding,I,144649,149497,-
NCU08065,,ena,protein_coding,I,149511,152241,-
NCU08066,,ena,protein_coding,I,152421,155040,-
NCU10696,ro-10,ena,protein_coding,I,155599,157284,+
NCU08067,,ena,protein_coding,I,158037,161116,+
NCU08068,,ena,protein_coding,I,162307,163765,+
NCU08069,,ena,protein_coding,I,163963,166034,+
NCU08070,,ena,protein_coding,I,169835,173197,-
NCU08071,cyt-21,ena,protein_coding,I,173482,174938,+
NCU15001,,ena,tRNA,I,175041,175128,-
